Subject,Condition,threshold
P1,In-air,1.4043645608422703
P1,On-touch (Mid),1.727947518302136
P10,In-air,1.0855494760323345
P10,On-touch (Mid),2.1145146368193726
P11,In-air,1.4559498133817868
P11,On-touch (Mid),1.3515933685454522
P12,In-air,1.8915363540785837
P12,On-touch (Mid),1.3339839674209664
P13,In-air,1.3702922257258336
P13,On-touch (Mid),1.598186853900498
P14,In-air,1.173753400543852
P14,On-touch (Mid),1.4402214794937027
P15,In-air,1.0328727772382258
P15,On-touch (Mid),1.8966661875719106
P16,In-air,1.5867021524937701
P16,On-touch (Mid),2.0181515034251754
P17,In-air,1.1953866288709285
P17,On-touch (Mid),1.8229047153556686
P18,In-air,1.2361389883611869
P18,On-touch (Mid),1.4433154166659612
P19,In-air,0.8975717671675556
P19,On-touch (Mid),0.7822491991379945
P2,In-air,1.0766041673225712
P2,On-touch (Mid),1.406138656053941
P20,In-air,1.035213091780685
P20,On-touch (Mid),0.8530442694384619
P29,In-air,3.141367009768149
P29,On-touch (Mid),1.2304473076252505
P3,In-air,1.3364000810065608
P3,On-touch (Mid),1.730426804415341
P31,In-air,1.5486021677529505
P31,On-touch (Mid),1.3709560573063513
P34,In-air,1.0582388177042044
P34,On-touch (Mid),1.2182583883036238
P36,In-air,1.8062047410018758
P36,On-touch (Mid),2.0181515034251754
P37,In-air,1.296283734439119
P37,On-touch (Mid),1.5766378388880748
P38,In-air,1.0176834183665542
P38,On-touch (Mid),0.9940052351260964
P4,In-air,1.8771126473429944
P4,On-touch (Mid),1.280932685682645
P40,In-air,1.296283734439119
P40,On-touch (Mid),1.0994326113294923
P41,In-air,1.296283734439119
P41,On-touch (Mid),1.7888142110994985
P42,In-air,1.0050130726439315
P42,On-touch (Mid),1.4003733930355877
P46,In-air,1.6104681399837215
P46,On-touch (Mid),1.2866668640167813
P5,In-air,0.9630702712724827
P5,On-touch (Mid),1.2987556939425167
P6,In-air,1.3318181594620166
P6,On-touch (Mid),1.9914666083161874
P7,In-air,1.6385542424497215
P7,On-touch (Mid),1.2880465321651744
P8,In-air,1.7512244105770427
P8,On-touch (Mid),1.7636890249776567
P9,In-air,1.2745395888557738
P9,On-touch (Mid),1.5726708735182133
