figure,force_g,comparison,test,reference,test_group,shown_on_figure,pooling_method,analysis_cohort,cohort_label,p_value,sig_star,lme_coef,lme_ci_lo,lme_ci_hi,n_ref_observations,n_test_observations,n_ref_subjects,n_test_subjects,n_paired_subjects,mean_ref,mean_test,mean_diff,cohens_d,hedges_g,cohens_d_ci_lo,cohens_d_ci_hi,effect_size_method,sensitivity_note
Fig2_ontouch_vs_inair(final),0.070000,On-touch vs In-air,"LME (trial-level): Score ~ Condition, random intercept ~ subject",In-air,On-touch (Mid),False,trial-level (all areas),primary_all,Primary: all included subjects (matches final figures),0.047715,*,2.146825,0.021611,4.272040,360,360,30,30,30.000000,5.411376,7.558201,2.146825,0.396224,0.385887,0.041469,0.805512,paired Cohen's d on subject-level means (test − ref),
Fig2_ontouch_vs_inair(final),0.160000,On-touch vs In-air,"LME (trial-level): Score ~ Condition, random intercept ~ subject",In-air,On-touch (Mid),True,trial-level (all areas),primary_all,Primary: all included subjects (matches final figures),0.000000,***,13.275794,10.317587,16.234001,540,540,45,45,45.000000,19.717372,32.993166,13.275794,0.756926,0.743950,0.499096,1.069196,paired Cohen's d on subject-level means (test − ref),
Fig2_ontouch_vs_inair(final),0.400000,On-touch vs In-air,"LME (trial-level): Score ~ Condition, random intercept ~ subject",In-air,On-touch (Mid),True,trial-level (all areas),primary_all,Primary: all included subjects (matches final figures),0.000000,***,16.793651,12.274806,21.312495,180,180,15,15,15.000000,46.603175,63.396825,16.793651,1.634683,1.545519,0.758705,7.866727,paired Cohen's d on subject-level means (test − ref),
Fig2_ontouch_vs_inair(final),0.600000,On-touch vs In-air,"LME (trial-level): Score ~ Condition, random intercept ~ subject",In-air,On-touch (Mid),True,trial-level (all areas),primary_all,Primary: all included subjects (matches final figures),0.000000,***,17.105600,14.183705,20.027495,540,540,45,45,45.000000,58.675705,75.781305,17.105600,0.786395,0.772914,0.561424,1.048399,paired Cohen's d on subject-level means (test − ref),
Fig2_ontouch_vs_inair(final),1.000000,On-touch vs In-air,"LME (trial-level): Score ~ Condition, random intercept ~ subject",In-air,On-touch (Mid),False,trial-level (all areas),primary_all,Primary: all included subjects (matches final figures),0.088567,n.s.,-2.136243,-4.594812,0.322325,360,360,30,30,30.000000,87.336640,85.200397,-2.136243,-0.301152,-0.293296,-0.765546,0.059128,paired Cohen's d on subject-level means (test − ref),
Fig2_ontouch_vs_inair(final),1.400000,On-touch vs In-air,"LME (trial-level): Score ~ Condition, random intercept ~ subject",In-air,On-touch (Mid),False,trial-level (all areas),primary_all,Primary: all included subjects (matches final figures),0.652100,n.s.,-0.291336,-1.557860,0.975188,360,360,30,30,30.000000,96.734127,96.442791,-0.291336,-0.090976,-0.088602,-0.524799,0.251473,paired Cohen's d on subject-level means (test − ref),
Fig2_ontouch_vs_inair(final),0.070000,On-touch vs In-air,"LME (trial-level): Score ~ Condition, random intercept ~ subject",In-air,On-touch (Mid),False,trial-level (all areas),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.047715,*,2.146825,0.021611,4.272040,360,360,30,30,30.000000,5.411376,7.558201,2.146825,0.396224,0.385887,0.041469,0.805512,paired Cohen's d on subject-level means (test − ref),
Fig2_ontouch_vs_inair(final),0.160000,On-touch vs In-air,"LME (trial-level): Score ~ Condition, random intercept ~ subject",In-air,On-touch (Mid),False,trial-level (all areas),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.000000,***,16.954034,13.214705,20.693364,360,360,30,30,30.000000,18.738095,35.692130,16.954034,0.855036,0.832731,0.502825,1.332862,paired Cohen's d on subject-level means (test − ref),
Fig2_ontouch_vs_inair(final),0.400000,On-touch vs In-air,"LME (trial-level): Score ~ Condition, random intercept ~ subject",In-air,On-touch (Mid),False,trial-level (all areas),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",,,,,,0,0,0,0,,,,,,,,,,No data in this cohort at this force
Fig2_ontouch_vs_inair(final),0.600000,On-touch vs In-air,"LME (trial-level): Score ~ Condition, random intercept ~ subject",In-air,On-touch (Mid),False,trial-level (all areas),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.000000,***,21.957341,18.351241,25.563442,360,360,30,30,30.000000,55.667989,77.625331,21.957341,0.893106,0.869807,0.591880,1.320124,paired Cohen's d on subject-level means (test − ref),
Fig2_ontouch_vs_inair(final),1.000000,On-touch vs In-air,"LME (trial-level): Score ~ Condition, random intercept ~ subject",In-air,On-touch (Mid),False,trial-level (all areas),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.088567,n.s.,-2.136243,-4.594812,0.322325,360,360,30,30,30.000000,87.336640,85.200397,-2.136243,-0.301152,-0.293296,-0.765546,0.059128,paired Cohen's d on subject-level means (test − ref),
Fig2_ontouch_vs_inair(final),1.400000,On-touch vs In-air,"LME (trial-level): Score ~ Condition, random intercept ~ subject",In-air,On-touch (Mid),False,trial-level (all areas),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.652100,n.s.,-0.291336,-1.557860,0.975188,360,360,30,30,30.000000,96.734127,96.442791,-0.291336,-0.090976,-0.088602,-0.524799,0.251473,paired Cohen's d on subject-level means (test − ref),
