figure,analysis_cohort,cohort_label,force_g,source,source_raw,n_trials,n_subjects,both_conditions_at_force,q1,median,q3,iqr,whisker_lo,whisker_hi,mean,sd,row_type,comparison,test,reference,test_group,shown_on_figure,pooling_method,p_value,sig_star,lme_coef,lme_ci_lo,lme_ci_hi,n_ref_observations,n_test_observations,n_ref_subjects,n_test_subjects,n_paired_subjects,mean_ref,mean_test,mean_diff,cohens_d,hedges_g,cohens_d_ci_lo,cohens_d_ci_hi,effect_size_method,sensitivity_note
Fig3_future_full_kao(final),primary_all,Primary: all included subjects (matches final figures),0.020000,Fingerpad (Kao et al. 2022),"Fingerpad 
(Kao et al. 2022, n=5)",5.000000,5.000000,False,8.000000,20.000000,58.000000,50.000000,0.000000,58.000000,28.800000,27.589853,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,
Fig3_future_full_kao(final),primary_all,Primary: all included subjects (matches final figures),0.020000,Periungual: On-touch (this study),"Periungual: On-touch
(this study, ● n=30, $\triangle$ n=15)",0.000000,0.000000,False,,,,,,,,,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,
Fig3_future_full_kao(final),primary_all,Primary: all included subjects (matches final figures),0.040000,Fingerpad (Kao et al. 2022),"Fingerpad 
(Kao et al. 2022, n=5)",5.000000,5.000000,False,75.000000,85.000000,95.000000,20.000000,45.000000,100.000000,80.000000,21.794495,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,
Fig3_future_full_kao(final),primary_all,Primary: all included subjects (matches final figures),0.040000,Periungual: On-touch (this study),"Periungual: On-touch
(this study, ● n=30, $\triangle$ n=15)",0.000000,0.000000,False,,,,,,,,,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,
Fig3_future_full_kao(final),primary_all,Primary: all included subjects (matches final figures),0.070000,Fingerpad (Kao et al. 2022),"Fingerpad 
(Kao et al. 2022, n=5)",5.000000,5.000000,True,78.000000,80.000000,83.000000,5.000000,78.000000,83.000000,74.200000,22.884493,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,
Fig3_future_full_kao(final),primary_all,Primary: all included subjects (matches final figures),0.070000,Periungual: On-touch (this study),"Periungual: On-touch
(this study, ● n=30, $\triangle$ n=15)",360.000000,30.000000,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.558201,17.437321,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,
Fig3_future_full_kao(final),primary_all,Primary: all included subjects (matches final figures),0.160000,Fingerpad (Kao et al. 2022),"Fingerpad 
(Kao et al. 2022, n=5)",0.000000,0.000000,False,,,,,,,,,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,
Fig3_future_full_kao(final),primary_all,Primary: all included subjects (matches final figures),0.160000,Periungual: On-touch (this study),"Periungual: On-touch
(this study, ● n=30, $\triangle$ n=15)",540.000000,45.000000,False,0.000000,33.333333,50.000000,50.000000,0.000000,100.000000,32.993166,29.583907,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,
Fig3_future_full_kao(final),primary_all,Primary: all included subjects (matches final figures),0.400000,Fingerpad (Kao et al. 2022),"Fingerpad 
(Kao et al. 2022, n=5)",5.000000,5.000000,True,91.000000,93.000000,100.000000,9.000000,90.000000,100.000000,94.800000,4.868265,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,
Fig3_future_full_kao(final),primary_all,Primary: all included subjects (matches final figures),0.400000,Periungual: On-touch (this study),"Periungual: On-touch
(this study, ● n=30, $\triangle$ n=15)",180.000000,15.000000,True,50.000000,62.500000,75.000000,25.000000,12.500000,100.000000,63.396825,22.421854,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,
