figure,analysis_cohort,cohort_label,force_g,condition,condition_raw,n_trials,n_subjects,q1,median,q3,iqr,whisker_lo,whisker_hi,mean,sd,row_type,comparison,test,reference,test_group,shown_on_figure,pooling_method,p_value,sig_star,lme_coef,lme_ci_lo,lme_ci_hi,n_ref_observations,n_test_observations,n_ref_subjects,n_test_subjects,n_paired_subjects,mean_ref,mean_test,mean_diff,cohens_d,hedges_g,cohens_d_ci_lo,cohens_d_ci_hi,effect_size_method,sensitivity_note,source,source_raw,both_conditions_at_force,group,group_label,n_observations
Fig2_ontouch_vs_inair(final),primary_all,Primary: all included subjects (matches final figures),0.070000,In-air,In-air,360.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.411376,13.835082,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),primary_all,Primary: all included subjects (matches final figures),0.070000,On-touch,On-touch (Mid),360.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.558201,17.437321,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),primary_all,Primary: all included subjects (matches final figures),0.160000,In-air,In-air,540.000000,45.000000,0.000000,14.285714,33.333333,33.333333,0.000000,83.333333,19.717372,23.143329,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),primary_all,Primary: all included subjects (matches final figures),0.160000,On-touch,On-touch (Mid),540.000000,45.000000,0.000000,33.333333,50.000000,50.000000,0.000000,100.000000,32.993166,29.583907,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),primary_all,Primary: all included subjects (matches final figures),0.400000,In-air,In-air,180.000000,15.000000,33.333333,41.428571,60.000000,26.666667,0.000000,100.000000,46.603175,21.968589,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),primary_all,Primary: all included subjects (matches final figures),0.400000,On-touch,On-touch (Mid),180.000000,15.000000,50.000000,62.500000,75.000000,25.000000,12.500000,100.000000,63.396825,22.421854,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),primary_all,Primary: all included subjects (matches final figures),0.600000,In-air,In-air,540.000000,45.000000,37.500000,60.000000,83.333333,45.833333,0.000000,100.000000,58.675705,29.049859,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),primary_all,Primary: all included subjects (matches final figures),0.600000,On-touch,On-touch (Mid),540.000000,45.000000,60.000000,80.000000,100.000000,40.000000,0.000000,100.000000,75.781305,23.434550,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),primary_all,Primary: all included subjects (matches final figures),1.000000,In-air,In-air,360.000000,30.000000,80.000000,100.000000,100.000000,20.000000,50.000000,100.000000,87.336640,17.183679,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),primary_all,Primary: all included subjects (matches final figures),1.000000,On-touch,On-touch (Mid),360.000000,30.000000,75.000000,87.500000,100.000000,25.000000,40.000000,100.000000,85.200397,18.299691,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),primary_all,Primary: all included subjects (matches final figures),1.400000,In-air,In-air,360.000000,30.000000,100.000000,100.000000,100.000000,0.000000,100.000000,100.000000,96.734127,8.651886,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),primary_all,Primary: all included subjects (matches final figures),1.400000,On-touch,On-touch (Mid),360.000000,30.000000,100.000000,100.000000,100.000000,0.000000,100.000000,100.000000,96.442791,8.943744,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.070000,In-air,In-air,360.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.411376,13.835082,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.070000,On-touch,On-touch (Mid),360.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.558201,17.437321,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.160000,In-air,In-air,360.000000,30.000000,0.000000,12.500000,29.761905,29.761905,0.000000,71.428571,18.738095,23.820917,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.160000,On-touch,On-touch (Mid),360.000000,30.000000,0.000000,37.500000,60.000000,60.000000,0.000000,100.000000,35.692130,31.506021,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.400000,In-air,In-air,0.000000,0.000000,,,,,,,,,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.400000,On-touch,On-touch (Mid),0.000000,0.000000,,,,,,,,,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.600000,In-air,In-air,360.000000,30.000000,28.571429,50.000000,83.333333,54.761905,0.000000,100.000000,55.667989,30.914872,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.600000,On-touch,On-touch (Mid),360.000000,30.000000,60.000000,83.333333,100.000000,40.000000,0.000000,100.000000,77.625331,23.085859,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",1.000000,In-air,In-air,360.000000,30.000000,80.000000,100.000000,100.000000,20.000000,50.000000,100.000000,87.336640,17.183679,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",1.000000,On-touch,On-touch (Mid),360.000000,30.000000,75.000000,87.500000,100.000000,25.000000,40.000000,100.000000,85.200397,18.299691,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",1.400000,In-air,In-air,360.000000,30.000000,100.000000,100.000000,100.000000,0.000000,100.000000,100.000000,96.734127,8.651886,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",1.400000,On-touch,On-touch (Mid),360.000000,30.000000,100.000000,100.000000,100.000000,0.000000,100.000000,100.000000,96.442791,8.943744,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.070000,In-air,In-air,0.000000,0.000000,,,,,,,,,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.070000,On-touch,On-touch (Mid),0.000000,0.000000,,,,,,,,,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.160000,In-air,In-air,180.000000,15.000000,0.000000,20.000000,37.500000,37.500000,0.000000,83.333333,21.675926,21.656346,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.160000,On-touch,On-touch (Mid),180.000000,15.000000,0.000000,25.000000,42.857143,42.857143,0.000000,100.000000,27.595238,24.508096,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
