figure,force_g,comparison,sensitivity_analysis,analysis_cohort,pooling_method_primary,pooling_method_sensitivity,n_paired_primary,n_paired_sensitivity,n_subjects_primary,n_subjects_sensitivity,p_primary,p_sensitivity,sig_primary,sig_sensitivity,cohens_d_primary,cohens_d_sensitivity,lme_coef_primary,lme_coef_sensitivity,robustness_verdict,sensitivity_note
Fig2_ontouch_vs_inair(final),0.070000,On-touch vs In-air,"Sensitivity: full protocol only (P1–P60, n=30)",sensitivity_full_n30,trial-level (all areas),trial-level (all areas),30.000000,30.000000,30,30,0.047715,0.047715,*,*,0.396224,0.396224,2.146825,2.146825,robust (both p < .05),
Fig2_ontouch_vs_inair(final),0.070000,On-touch vs In-air,"Sensitivity: partial protocol only (P61–P75, n=15)",sensitivity_partial_n15,trial-level (all areas),trial-level (all areas),30.000000,,30,0,0.047715,,*,,0.396224,,2.146825,,not applicable (no data in sensitivity cohort),No data in this cohort at this force
Fig2_ontouch_vs_inair(final),0.160000,On-touch vs In-air,"Sensitivity: full protocol only (P1–P60, n=30)",sensitivity_full_n30,trial-level (all areas),trial-level (all areas),45.000000,30.000000,45,30,0.000000,0.000000,***,***,0.756926,0.855036,13.275794,16.954034,robust (both p < .05),
Fig2_ontouch_vs_inair(final),0.160000,On-touch vs In-air,"Sensitivity: partial protocol only (P61–P75, n=15)",sensitivity_partial_n15,trial-level (all areas),trial-level (all areas),45.000000,15.000000,45,15,0.000000,0.013366,***,*,0.756926,0.731885,13.275794,5.919312,robust (both p < .05),
Fig2_ontouch_vs_inair(final),0.400000,On-touch vs In-air,"Sensitivity: full protocol only (P1–P60, n=30)",sensitivity_full_n30,trial-level (all areas),trial-level (all areas),15.000000,,15,0,0.000000,,***,,1.634683,,16.793651,,not applicable (no data in sensitivity cohort),No data in this cohort at this force
Fig2_ontouch_vs_inair(final),0.400000,On-touch vs In-air,"Sensitivity: partial protocol only (P61–P75, n=15)",sensitivity_partial_n15,trial-level (all areas),trial-level (all areas),15.000000,15.000000,15,15,0.000000,0.000000,***,***,1.634683,1.634683,16.793651,16.793651,robust (both p < .05),
Fig2_ontouch_vs_inair(final),0.600000,On-touch vs In-air,"Sensitivity: full protocol only (P1–P60, n=30)",sensitivity_full_n30,trial-level (all areas),trial-level (all areas),45.000000,30.000000,45,30,0.000000,0.000000,***,***,0.786395,0.893106,17.105600,21.957341,robust (both p < .05),
Fig2_ontouch_vs_inair(final),0.600000,On-touch vs In-air,"Sensitivity: partial protocol only (P61–P75, n=15)",sensitivity_partial_n15,trial-level (all areas),trial-level (all areas),45.000000,15.000000,45,15,0.000000,0.002661,***,**,0.786395,0.809331,17.105600,7.402116,robust (both p < .05),
Fig2_ontouch_vs_inair(final),1.000000,On-touch vs In-air,"Sensitivity: full protocol only (P1–P60, n=30)",sensitivity_full_n30,trial-level (all areas),trial-level (all areas),30.000000,30.000000,30,30,0.088567,0.088567,n.s.,n.s.,-0.301152,-0.301152,-2.136243,-2.136243,concordant non-significant,
Fig2_ontouch_vs_inair(final),1.000000,On-touch vs In-air,"Sensitivity: partial protocol only (P61–P75, n=15)",sensitivity_partial_n15,trial-level (all areas),trial-level (all areas),30.000000,,30,0,0.088567,,n.s.,,-0.301152,,-2.136243,,not applicable (no data in sensitivity cohort),No data in this cohort at this force
Fig2_ontouch_vs_inair(final),1.400000,On-touch vs In-air,"Sensitivity: full protocol only (P1–P60, n=30)",sensitivity_full_n30,trial-level (all areas),trial-level (all areas),30.000000,30.000000,30,30,0.652100,0.652100,n.s.,n.s.,-0.090976,-0.090976,-0.291336,-0.291336,concordant non-significant,
Fig2_ontouch_vs_inair(final),1.400000,On-touch vs In-air,"Sensitivity: partial protocol only (P61–P75, n=15)",sensitivity_partial_n15,trial-level (all areas),trial-level (all areas),30.000000,,30,0,0.652100,,n.s.,,-0.090976,,-0.291336,,not applicable (no data in sensitivity cohort),No data in this cohort at this force
Fig3_future_full_kao(final),0.070000,Periungual: On-touch vs Fingerpad (Kao),"Sensitivity: full protocol only (P1–P60, n=30)",sensitivity_full_n30,trial-level (Kao participant / peri subject trials),trial-level (Kao participant / peri subject trials),,,5,5,0.000000,0.000000,***,***,-6.220536,-6.220536,-66.641799,-66.641799,robust (both p < .05),Kao n=5 unchanged across cohorts
Fig3_future_full_kao(final),0.400000,Periungual: On-touch vs Fingerpad (Kao),"Sensitivity: partial protocol only (P61–P75, n=15)",sensitivity_partial_n15,trial-level (Kao participant / peri subject trials),trial-level (Kao participant / peri subject trials),,,5,5,0.003476,0.003476,**,**,-3.954273,-3.954273,-31.403175,-31.403175,robust (both p < .05),Kao n=5 unchanged across cohorts
Fig3_future_full_kao(final),1.000000,Periungual: On-touch vs Fingerpad (Kao),"Sensitivity: full protocol only (P1–P60, n=30)",sensitivity_full_n30,trial-level (Kao participant / peri subject trials),trial-level (Kao participant / peri subject trials),,,5,5,0.071671,0.071671,n.s.,n.s.,-1.974501,-1.974501,-14.799603,-14.799603,concordant non-significant,Kao n=5 unchanged across cohorts
Fig3_future_full_kao(final),1.400000,Periungual: On-touch vs Fingerpad (Kao),"Sensitivity: full protocol only (P1–P60, n=30)",sensitivity_full_n30,trial-level (Kao participant / peri subject trials),trial-level (Kao participant / peri subject trials),,,5,5,0.991535,0.991535,n.s.,n.s.,0.011568,0.011568,0.042791,0.042791,concordant non-significant,Kao n=5 unchanged across cohorts
onnail_vs_offnail_pooled(final),0.160000,On-nail (C+D) vs Off-nail (A+F),"Sensitivity: full protocol only (P1–P60, n=30)",sensitivity_full_n30,"subject×area means (C,D,A,F separate)","subject×area means (C,D,A,F separate)",45.000000,30.000000,45,30,0.000000,0.000001,***,***,1.002238,0.732624,17.302249,13.859623,robust (both p < .05),
onnail_vs_offnail_pooled(final),0.160000,On-nail (C+D) vs Off-nail (A+F),"Sensitivity: trial-pooled subject means, full protocol (n=30 per group)",sensitivity_trial_pooled_n30,"subject×area means (C,D,A,F separate)",trial-pooled subject means (1 value/subject/group),45.000000,30.000000,45,30,0.000000,0.000060,***,***,1.002238,0.732624,17.302249,13.859623,robust (both p < .05),
onnail_vs_offnail_pooled(final),0.160000,On-nail (C+D) vs Off-nail (A+F),"Sensitivity: partial protocol only (P61–P75, n=15)",sensitivity_partial_n15,"subject×area means (C,D,A,F separate)","subject×area means (C,D,A,F separate)",45.000000,15.000000,45,15,0.000000,0.000000,***,***,1.002238,2.215816,17.302249,24.187500,robust (both p < .05),
onnail_vs_offnail_pooled(final),0.400000,On-nail (C+D) vs Off-nail (A+F),"Sensitivity: full protocol only (P1–P60, n=30)",sensitivity_full_n30,"subject×area means (C,D,A,F separate)","subject×area means (C,D,A,F separate)",15.000000,,15,0,0.000000,,***,,1.887926,,17.876984,,not applicable (no data in sensitivity cohort),No data in this cohort at this force
onnail_vs_offnail_pooled(final),0.400000,On-nail (C+D) vs Off-nail (A+F),"Sensitivity: trial-pooled subject means, full protocol (n=30 per group)",sensitivity_trial_pooled_n30,"subject×area means (C,D,A,F separate)",trial-pooled subject means (1 value/subject/group),15.000000,,15,0,0.000000,,***,,1.887926,,17.876984,,not applicable (no data in sensitivity cohort),No data in this cohort at this force
onnail_vs_offnail_pooled(final),0.400000,On-nail (C+D) vs Off-nail (A+F),"Sensitivity: partial protocol only (P61–P75, n=15)",sensitivity_partial_n15,"subject×area means (C,D,A,F separate)","subject×area means (C,D,A,F separate)",15.000000,15.000000,15,15,0.000000,0.000000,***,***,1.887926,1.887926,17.876984,17.876984,robust (both p < .05),
onnail_vs_offnail_pooled(final),0.600000,On-nail (C+D) vs Off-nail (A+F),"Sensitivity: full protocol only (P1–P60, n=30)",sensitivity_full_n30,"subject×area means (C,D,A,F separate)","subject×area means (C,D,A,F separate)",45.000000,30.000000,45,30,0.000000,0.002431,***,**,0.875893,0.767608,11.557870,7.009921,robust (both p < .05),
onnail_vs_offnail_pooled(final),0.600000,On-nail (C+D) vs Off-nail (A+F),"Sensitivity: trial-pooled subject means, full protocol (n=30 per group)",sensitivity_trial_pooled_n30,"subject×area means (C,D,A,F separate)",trial-pooled subject means (1 value/subject/group),45.000000,30.000000,45,30,0.000000,0.000026,***,***,0.875893,0.767608,11.557870,7.009921,robust (both p < .05),
onnail_vs_offnail_pooled(final),0.600000,On-nail (C+D) vs Off-nail (A+F),"Sensitivity: partial protocol only (P61–P75, n=15)",sensitivity_partial_n15,"subject×area means (C,D,A,F separate)","subject×area means (C,D,A,F separate)",45.000000,15.000000,45,15,0.000000,0.000000,***,***,0.875893,1.328986,11.557870,20.653770,robust (both p < .05),
onnail_vs_offnail_pooled(final),1.000000,On-nail (C+D) vs Off-nail (A+F),"Sensitivity: full protocol only (P1–P60, n=30)",sensitivity_full_n30,"subject×area means (C,D,A,F separate)","subject×area means (C,D,A,F separate)",30.000000,30.000000,30,30,0.021635,0.021635,*,*,0.349620,0.349620,4.522817,4.522817,robust (both p < .05),
onnail_vs_offnail_pooled(final),1.000000,On-nail (C+D) vs Off-nail (A+F),"Sensitivity: trial-pooled subject means, full protocol (n=30 per group)",sensitivity_trial_pooled_n30,"subject×area means (C,D,A,F separate)",trial-pooled subject means (1 value/subject/group),30.000000,30.000000,30,30,0.021635,0.055499,*,n.s.,0.349620,0.349620,4.522817,4.522817,"attenuated (primary sig, sensitivity n.s.)",
onnail_vs_offnail_pooled(final),1.000000,On-nail (C+D) vs Off-nail (A+F),"Sensitivity: partial protocol only (P61–P75, n=15)",sensitivity_partial_n15,"subject×area means (C,D,A,F separate)","subject×area means (C,D,A,F separate)",30.000000,,30,0,0.021635,,*,,0.349620,,4.522817,,not applicable (no data in sensitivity cohort),No data in this cohort at this force
