SubjectID,Condition,Region,Area,Force,Force_Val,Target,Response,IsCorrect,Relative_Score
P29,On-touch (Mid),D,D,0.16g,0.16,5,4,0,80.0
P29,On-touch (Mid),B,B,1.4g,1.4,7,7,1,100.0
P29,On-touch (Mid),F,F,1.4g,1.4,7,5,0,71.42857142857143
P29,On-touch (Mid),B,B,0.6g,0.6,8,8,1,100.0
P29,On-touch (Mid),A,A,1.0g,1.0,8,8,1,100.0
P29,On-touch (Mid),A,A,1.4g,1.4,6,6,1,100.0
P29,On-touch (Mid),C,C,0.6g,0.6,5,5,1,100.0
P29,On-touch (Mid),E,E,1.0g,1.0,7,7,1,100.0
P29,On-touch (Mid),F,F,1.4g,1.4,6,6,1,100.0
P29,On-touch (Mid),A,A,0.16g,0.16,8,0,0,0.0
P29,On-touch (Mid),E,E,0.6g,0.6,7,7,1,100.0
P29,On-touch (Mid),A,A,1.4g,1.4,7,7,1,100.0
P29,On-touch (Mid),F,F,0.16g,0.16,5,5,1,100.0
P29,On-touch (Mid),B,B,0.16g,0.16,6,6,1,100.0
P29,On-touch (Mid),D,D,1.4g,1.4,5,6,0,80.0
P29,On-touch (Mid),F,F,0.6g,0.6,7,7,1,100.0
P29,On-touch (Mid),D,D,1.0g,1.0,6,6,1,100.0
P29,On-touch (Mid),C,C,1.4g,1.4,8,8,1,100.0
P29,On-touch (Mid),C,C,0.16g,0.16,7,0,0,0.0
P29,On-touch (Mid),E,E,0.16g,0.16,5,7,0,60.0
P29,On-touch (Mid),A,A,0.07g,0.07,5,0,0,0.0
P29,On-touch (Mid),D,D,0.6g,0.6,5,5,1,100.0
P29,On-touch (Mid),D,D,0.07g,0.07,8,2,0,25.0
P29,On-touch (Mid),F,F,1.0g,1.0,8,8,1,100.0
P29,On-touch (Mid),B,B,0.6g,0.6,8,6,0,75.0
P29,On-touch (Mid),B,B,0.07g,0.07,5,4,0,80.0
P29,On-touch (Mid),F,F,0.6g,0.6,8,5,0,62.5
P29,On-touch (Mid),E,E,0.16g,0.16,8,5,0,62.5
P29,On-touch (Mid),F,F,0.07g,0.07,7,0,0,0.0
P29,On-touch (Mid),A,A,0.6g,0.6,6,6,1,100.0
P29,On-touch (Mid),C,C,0.07g,0.07,8,1,0,12.5
P29,On-touch (Mid),A,A,0.6g,0.6,8,7,0,87.5
P29,On-touch (Mid),B,B,1.0g,1.0,5,5,1,100.0
P29,On-touch (Mid),E,E,1.4g,1.4,5,7,0,60.0
P29,On-touch (Mid),C,C,0.6g,0.6,6,4,0,66.66666666666667
