figure,analysis_cohort,cohort_label,force_g,group,group_label,pooling_method,n_observations,n_subjects,q1,median,q3,iqr,whisker_lo,whisker_hi,mean,sd
onnail_vs_offnail_pooled(final),primary_all,Primary: all included subjects (matches final figures),0.1600,On-nail,On-nail (C+D),"subject×area means (C,D,A,F separate)",90,45,21.8750,32.3214,41.4062,19.5312,0.0000,67.1429,32.5850,17.3051
onnail_vs_offnail_pooled(final),primary_all,Primary: all included subjects (matches final figures),0.1600,Off-nail,Off-nail (A+F),"subject×area means (C,D,A,F separate)",90,45,3.5714,12.5000,22.0536,18.4821,0.0000,48.7500,15.2827,14.3408
onnail_vs_offnail_pooled(final),primary_all,Primary: all included subjects (matches final figures),0.4000,On-nail,On-nail (C+D),"subject×area means (C,D,A,F separate)",30,15,58.7426,62.5000,67.6414,8.8988,52.9464,76.7857,62.5595,9.0247
onnail_vs_offnail_pooled(final),primary_all,Primary: all included subjects (matches final figures),0.4000,Off-nail,Off-nail (A+F),"subject×area means (C,D,A,F separate)",30,15,38.1250,44.4196,49.6280,11.5030,34.6429,65.1786,44.6825,11.4272
onnail_vs_offnail_pooled(final),primary_all,Primary: all included subjects (matches final figures),0.6000,On-nail,On-nail (C+D),"subject×area means (C,D,A,F separate)",90,45,62.9464,72.3363,83.3929,20.4464,35.7143,96.8750,71.4497,15.0379
onnail_vs_offnail_pooled(final),primary_all,Primary: all included subjects (matches final figures),0.6000,Off-nail,Off-nail (A+F),"subject×area means (C,D,A,F separate)",90,45,47.7158,60.5804,73.4375,25.7217,15.4762,92.8571,59.8919,17.4885
onnail_vs_offnail_pooled(final),primary_all,Primary: all included subjects (matches final figures),1.0000,On-nail,On-nail (C+D),"subject×area means (C,D,A,F separate)",60,30,81.1458,89.2857,95.8333,14.6875,61.4286,100.0000,87.0010,11.0140
onnail_vs_offnail_pooled(final),primary_all,Primary: all included subjects (matches final figures),1.0000,Off-nail,Off-nail (A+F),"subject×area means (C,D,A,F separate)",60,30,76.7411,85.0595,92.2619,15.5208,55.7143,100.0000,82.4782,12.8494
onnail_vs_offnail_pooled(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.1600,On-nail,On-nail (C+D),"subject×area means (C,D,A,F separate)",60,30,17.4107,32.0536,44.1518,26.7411,0.0000,67.1429,32.3418,19.6515
onnail_vs_offnail_pooled(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.1600,Off-nail,Off-nail (A+F),"subject×area means (C,D,A,F separate)",60,30,7.1429,15.2381,27.6562,20.5134,0.0000,48.7500,18.4821,15.5159
onnail_vs_offnail_pooled(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.4000,On-nail,On-nail (C+D),"subject×area means (C,D,A,F separate)",0,0,,,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.4000,Off-nail,Off-nail (A+F),"subject×area means (C,D,A,F separate)",0,0,,,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.6000,On-nail,On-nail (C+D),"subject×area means (C,D,A,F separate)",60,30,58.5938,66.7262,81.2500,22.6562,26.4583,96.8750,68.6037,16.1059
onnail_vs_offnail_pooled(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.6000,Off-nail,Off-nail (A+F),"subject×area means (C,D,A,F separate)",60,30,45.0670,62.9464,79.1295,34.0625,25.0000,92.8571,61.5938,18.5844
onnail_vs_offnail_pooled(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",1.0000,On-nail,On-nail (C+D),"subject×area means (C,D,A,F separate)",60,30,81.1458,89.2857,95.8333,14.6875,61.4286,100.0000,87.0010,11.0140
onnail_vs_offnail_pooled(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",1.0000,Off-nail,Off-nail (A+F),"subject×area means (C,D,A,F separate)",60,30,76.7411,85.0595,92.2619,15.5208,55.7143,100.0000,82.4782,12.8494
onnail_vs_offnail_pooled(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.1600,On-nail,On-nail (C+D),"subject×area means (C,D,A,F separate)",30,15,25.1935,34.4048,39.5536,14.3601,19.0476,58.4524,33.0714,11.5327
onnail_vs_offnail_pooled(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.1600,Off-nail,Off-nail (A+F),"subject×area means (C,D,A,F separate)",30,15,3.5714,5.8482,12.8571,9.2857,0.0000,25.7440,8.8839,8.8227
onnail_vs_offnail_pooled(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.4000,On-nail,On-nail (C+D),"subject×area means (C,D,A,F separate)",30,15,58.7426,62.5000,67.6414,8.8988,52.9464,76.7857,62.5595,9.0247
onnail_vs_offnail_pooled(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.4000,Off-nail,Off-nail (A+F),"subject×area means (C,D,A,F separate)",30,15,38.1250,44.4196,49.6280,11.5030,34.6429,65.1786,44.6825,11.4272
onnail_vs_offnail_pooled(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.6000,On-nail,On-nail (C+D),"subject×area means (C,D,A,F separate)",30,15,70.9598,75.0149,85.4167,14.4568,52.8571,95.0000,77.1419,10.7697
onnail_vs_offnail_pooled(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.6000,Off-nail,Off-nail (A+F),"subject×area means (C,D,A,F separate)",30,15,50.1562,59.8512,64.2262,14.0699,39.3750,80.3571,56.4881,14.7644
onnail_vs_offnail_pooled(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",1.0000,On-nail,On-nail (C+D),"subject×area means (C,D,A,F separate)",0,0,,,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",1.0000,Off-nail,Off-nail (A+F),"subject×area means (C,D,A,F separate)",0,0,,,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_trial_pooled_n30,"Sensitivity: trial-pooled subject means, full protocol (n=30 per group)",0.1600,On-nail,On-nail (C+D),trial-pooled subject means (1 value/subject/group),30,30,22.5112,33.8170,41.8080,19.2969,0.0000,61.8304,32.3418,16.9355
onnail_vs_offnail_pooled(final),sensitivity_trial_pooled_n30,"Sensitivity: trial-pooled subject means, full protocol (n=30 per group)",0.1600,Off-nail,Off-nail (A+F),trial-pooled subject means (1 value/subject/group),30,30,8.0915,15.9821,24.7545,16.6629,0.0000,40.9673,18.4821,12.3529
onnail_vs_offnail_pooled(final),sensitivity_trial_pooled_n30,"Sensitivity: trial-pooled subject means, full protocol (n=30 per group)",0.4000,On-nail,On-nail (C+D),trial-pooled subject means (1 value/subject/group),0,0,,,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_trial_pooled_n30,"Sensitivity: trial-pooled subject means, full protocol (n=30 per group)",0.4000,Off-nail,Off-nail (A+F),trial-pooled subject means (1 value/subject/group),0,0,,,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_trial_pooled_n30,"Sensitivity: trial-pooled subject means, full protocol (n=30 per group)",0.6000,On-nail,On-nail (C+D),trial-pooled subject means (1 value/subject/group),30,30,59.9330,67.8274,77.7530,17.8199,45.3125,89.8810,68.6037,12.4769
onnail_vs_offnail_pooled(final),sensitivity_trial_pooled_n30,"Sensitivity: trial-pooled subject means, full protocol (n=30 per group)",0.6000,Off-nail,Off-nail (A+F),trial-pooled subject means (1 value/subject/group),30,30,48.7686,59.8140,76.8192,28.0506,33.0506,85.9970,61.5938,15.9732
onnail_vs_offnail_pooled(final),sensitivity_trial_pooled_n30,"Sensitivity: trial-pooled subject means, full protocol (n=30 per group)",1.0000,On-nail,On-nail (C+D),trial-pooled subject means (1 value/subject/group),30,30,79.3452,89.5610,94.1146,14.7693,75.0149,100.0000,87.0010,9.7015
onnail_vs_offnail_pooled(final),sensitivity_trial_pooled_n30,"Sensitivity: trial-pooled subject means, full protocol (n=30 per group)",1.0000,Off-nail,Off-nail (A+F),trial-pooled subject means (1 value/subject/group),30,30,75.7701,84.6354,89.7582,13.9881,59.7321,97.9167,82.4782,10.1188
