figure,analysis_cohort,cohort_label,force_g,group,group_label,pooling_method,n_observations,n_subjects,q1,median,q3,iqr,whisker_lo,whisker_hi,mean,sd,row_type,comparison,test,reference,test_group,shown_on_figure,p_value,sig_star,lme_coef,lme_ci_lo,lme_ci_hi,n_ref_observations,n_test_observations,n_ref_subjects,n_test_subjects,n_paired_subjects,mean_ref,mean_test,mean_diff,cohens_d,hedges_g,cohens_d_ci_lo,cohens_d_ci_hi,effect_size_method,sensitivity_note
onnail_vs_offnail_pooled(final),primary_all,Primary: all included subjects (matches final figures),0.160000,On-nail,On-nail (C+D),"subject×area means (C,D,A,F separate)",90.000000,45.000000,21.875000,32.321429,41.406250,19.531250,0.000000,67.142857,32.584987,17.305114,descriptive,,,,,,,,,,,,,,,,,,,,,,,,
onnail_vs_offnail_pooled(final),primary_all,Primary: all included subjects (matches final figures),0.160000,Off-nail,Off-nail (A+F),"subject×area means (C,D,A,F separate)",90.000000,45.000000,3.571429,12.500000,22.053571,18.482143,0.000000,48.750000,15.282738,14.340817,descriptive,,,,,,,,,,,,,,,,,,,,,,,,
onnail_vs_offnail_pooled(final),primary_all,Primary: all included subjects (matches final figures),0.400000,On-nail,On-nail (C+D),"subject×area means (C,D,A,F separate)",30.000000,15.000000,58.742560,62.500000,67.641369,8.898810,52.946429,76.785714,62.559524,9.024705,descriptive,,,,,,,,,,,,,,,,,,,,,,,,
onnail_vs_offnail_pooled(final),primary_all,Primary: all included subjects (matches final figures),0.400000,Off-nail,Off-nail (A+F),"subject×area means (C,D,A,F separate)",30.000000,15.000000,38.125000,44.419643,49.627976,11.502976,34.642857,65.178571,44.682540,11.427217,descriptive,,,,,,,,,,,,,,,,,,,,,,,,
onnail_vs_offnail_pooled(final),primary_all,Primary: all included subjects (matches final figures),0.600000,On-nail,On-nail (C+D),"subject×area means (C,D,A,F separate)",90.000000,45.000000,62.946429,72.336310,83.392857,20.446429,35.714286,96.875000,71.449735,15.037893,descriptive,,,,,,,,,,,,,,,,,,,,,,,,
onnail_vs_offnail_pooled(final),primary_all,Primary: all included subjects (matches final figures),0.600000,Off-nail,Off-nail (A+F),"subject×area means (C,D,A,F separate)",90.000000,45.000000,47.715774,60.580357,73.437500,25.721726,15.476190,92.857143,59.891865,17.488524,descriptive,,,,,,,,,,,,,,,,,,,,,,,,
onnail_vs_offnail_pooled(final),primary_all,Primary: all included subjects (matches final figures),1.000000,On-nail,On-nail (C+D),"subject×area means (C,D,A,F separate)",60.000000,30.000000,81.145833,89.285714,95.833333,14.687500,61.428571,100.000000,87.000992,11.013969,descriptive,,,,,,,,,,,,,,,,,,,,,,,,
onnail_vs_offnail_pooled(final),primary_all,Primary: all included subjects (matches final figures),1.000000,Off-nail,Off-nail (A+F),"subject×area means (C,D,A,F separate)",60.000000,30.000000,76.741071,85.059524,92.261905,15.520833,55.714286,100.000000,82.478175,12.849362,descriptive,,,,,,,,,,,,,,,,,,,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.160000,On-nail,On-nail (C+D),"subject×area means (C,D,A,F separate)",60.000000,30.000000,17.410714,32.053571,44.151786,26.741071,0.000000,67.142857,32.341766,19.651536,descriptive,,,,,,,,,,,,,,,,,,,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.160000,Off-nail,Off-nail (A+F),"subject×area means (C,D,A,F separate)",60.000000,30.000000,7.142857,15.238095,27.656250,20.513393,0.000000,48.750000,18.482143,15.515857,descriptive,,,,,,,,,,,,,,,,,,,,,,,,
