figure,figure_note,panel_metric,x_label,region_raw,force_g,n_frames,n_trials,median,q1,q3,iqr,whisker_lo,whisker_hi,mean,sd,min,max
fig1_regionCD_by_force,Region CD (Proximal) across forces; boxplot over hold-phase frames (all trials),Deformation radius (mm),0.16,Region CD,0.160000,36,3,0.691754,0.670462,0.822896,0.152433,0.595559,0.969989,0.739736,0.100971,0.595559,0.969989
fig1_regionCD_by_force,Region CD (Proximal) across forces; boxplot over hold-phase frames (all trials),Penetration depth (mm),0.16,Region CD,0.160000,36,3,0.031697,0.026547,0.033761,0.007214,0.022646,0.039721,0.030461,0.004598,0.022646,0.039721
fig1_regionCD_by_force,Region CD (Proximal) across forces; boxplot over hold-phase frames (all trials),Max compressive strain (%),0.16,Region CD,0.160000,36,3,4.957960,4.167092,5.504100,1.337008,3.293288,6.377305,4.874686,0.885198,3.293288,6.377305
fig1_regionCD_by_force,Region CD (Proximal) across forces; boxplot over hold-phase frames (all trials),Deformation radius (mm),0.40,Region CD,0.400000,35,3,0.986074,0.897534,1.037948,0.140415,0.839049,1.061194,0.966450,0.079241,0.839049,1.061194
fig1_regionCD_by_force,Region CD (Proximal) across forces; boxplot over hold-phase frames (all trials),Penetration depth (mm),0.40,Region CD,0.400000,35,3,0.058339,0.055259,0.063442,0.008182,0.051964,0.072355,0.059798,0.006133,0.051964,0.072355
fig1_regionCD_by_force,Region CD (Proximal) across forces; boxplot over hold-phase frames (all trials),Max compressive strain (%),0.40,Region CD,0.400000,35,3,5.182528,4.841342,5.803616,0.962274,4.354001,6.623453,5.898611,1.839119,4.354001,11.544206
fig1_regionCD_by_force,Region CD (Proximal) across forces; boxplot over hold-phase frames (all trials),Deformation radius (mm),0.60,Region CD,0.600000,36,3,0.994247,0.985500,1.070199,0.084699,0.973583,1.140850,1.024480,0.050555,0.973583,1.140850
fig1_regionCD_by_force,Region CD (Proximal) across forces; boxplot over hold-phase frames (all trials),Penetration depth (mm),0.60,Region CD,0.600000,36,3,0.075125,0.073200,0.080618,0.007419,0.067282,0.087035,0.075995,0.005489,0.060944,0.087035
fig1_regionCD_by_force,Region CD (Proximal) across forces; boxplot over hold-phase frames (all trials),Max compressive strain (%),0.60,Region CD,0.600000,36,3,6.007172,5.696178,6.466409,0.770231,5.011239,7.600432,6.051319,0.537673,5.011239,7.600432
fig1_regionCD_by_force,Region CD (Proximal) across forces; boxplot over hold-phase frames (all trials),Deformation radius (mm),1.00,Region CD,1.000000,35,3,1.155590,1.041406,1.253389,0.211984,0.997813,1.419524,1.173614,0.135670,0.997813,1.574904
fig1_regionCD_by_force,Region CD (Proximal) across forces; boxplot over hold-phase frames (all trials),Penetration depth (mm),1.00,Region CD,1.000000,35,3,0.086991,0.080290,0.109898,0.029608,0.073844,0.119678,0.093201,0.014898,0.073844,0.119678
fig1_regionCD_by_force,Region CD (Proximal) across forces; boxplot over hold-phase frames (all trials),Max compressive strain (%),1.00,Region CD,1.000000,35,3,9.377132,9.051370,9.729519,0.678149,8.216683,10.657269,9.327599,0.603536,7.861470,10.657269
fig2_0p40g_by_region,0.40 g; Dorsal nail fold (Region CD) vs Volar fingerpad (Glabrous),Deformation radius (mm),Dorsal nail fold,Region CD,0.400000,35,3,0.986074,0.897534,1.037948,0.140415,0.839049,1.061194,0.966450,0.079241,0.839049,1.061194
fig2_0p40g_by_region,0.40 g; Dorsal nail fold (Region CD) vs Volar fingerpad (Glabrous),Penetration depth (mm),Dorsal nail fold,Region CD,0.400000,35,3,0.058339,0.055259,0.063442,0.008182,0.051964,0.072355,0.059798,0.006133,0.051964,0.072355
fig2_0p40g_by_region,0.40 g; Dorsal nail fold (Region CD) vs Volar fingerpad (Glabrous),Max compressive strain (%),Dorsal nail fold,Region CD,0.400000,35,3,5.182528,4.841342,5.803616,0.962274,4.354001,6.623453,5.898611,1.839119,4.354001,11.544206
fig2_0p40g_by_region,0.40 g; Dorsal nail fold (Region CD) vs Volar fingerpad (Glabrous),Deformation radius (mm),Volar fingerpad,Glabrous,0.400000,36,3,1.718766,1.483858,1.901856,0.417999,1.391780,2.221235,1.746840,0.264859,1.391780,2.549548
fig2_0p40g_by_region,0.40 g; Dorsal nail fold (Region CD) vs Volar fingerpad (Glabrous),Penetration depth (mm),Volar fingerpad,Glabrous,0.400000,36,3,0.069525,0.061474,0.087943,0.026469,0.049725,0.096245,0.072747,0.013957,0.049725,0.096245
fig2_0p40g_by_region,0.40 g; Dorsal nail fold (Region CD) vs Volar fingerpad (Glabrous),Max compressive strain (%),Volar fingerpad,Glabrous,0.400000,36,3,4.564019,3.667875,5.127521,1.459646,3.286989,5.729825,4.481949,0.780592,3.286989,5.729825
fig3_1p00g_by_region,1.00 g; Lateral (Region A) vs Proximal (Region CD) vs Volar (Glabrous),Deformation radius (mm),Lateral,Region A,1.000000,35,3,0.887274,0.627149,0.971455,0.344306,0.500000,1.109295,0.831673,0.176577,0.500000,1.109295
fig3_1p00g_by_region,1.00 g; Lateral (Region A) vs Proximal (Region CD) vs Volar (Glabrous),Penetration depth (mm),Lateral,Region A,1.000000,35,3,0.071146,0.032965,0.090557,0.057592,0.026909,0.144282,0.067809,0.036441,0.026909,0.189225
fig3_1p00g_by_region,1.00 g; Lateral (Region A) vs Proximal (Region CD) vs Volar (Glabrous),Max compressive strain (%),Lateral,Region A,1.000000,35,3,8.897114,7.940417,9.947328,2.006911,5.395913,12.918340,8.993512,2.241747,4.526822,15.862327
fig3_1p00g_by_region,1.00 g; Lateral (Region A) vs Proximal (Region CD) vs Volar (Glabrous),Deformation radius (mm),Proximal,Region CD,1.000000,35,3,1.155590,1.041406,1.253389,0.211984,0.997813,1.419524,1.173614,0.135670,0.997813,1.574904
fig3_1p00g_by_region,1.00 g; Lateral (Region A) vs Proximal (Region CD) vs Volar (Glabrous),Penetration depth (mm),Proximal,Region CD,1.000000,35,3,0.086991,0.080290,0.109898,0.029608,0.073844,0.119678,0.093201,0.014898,0.073844,0.119678
fig3_1p00g_by_region,1.00 g; Lateral (Region A) vs Proximal (Region CD) vs Volar (Glabrous),Max compressive strain (%),Proximal,Region CD,1.000000,35,3,9.377132,9.051370,9.729519,0.678149,8.216683,10.657269,9.327599,0.603536,7.861470,10.657269
fig3_1p00g_by_region,1.00 g; Lateral (Region A) vs Proximal (Region CD) vs Volar (Glabrous),Deformation radius (mm),Volar,Glabrous,1.000000,36,3,2.189164,2.175976,2.220904,0.044928,2.135645,2.281116,2.176343,0.112383,1.896326,2.442852
