figure,figure_note,panel_metric,x_label,region_raw,force_g,n_frames,n_trials,median,q1,q3,iqr,whisker_lo,whisker_hi,mean,sd,min,max
fig1_regionCD_by_force,Region CD (Proximal) across forces; boxplot over hold-phase frames (all trials),Deformation radius (mm),0.16,Region CD,0.160000,36,3,0.691754,0.670462,0.822896,0.152433,0.595559,0.969989,0.739736,0.100971,0.595559,0.969989
fig1_regionCD_by_force,Region CD (Proximal) across forces; boxplot over hold-phase frames (all trials),Penetration depth (mm),0.16,Region CD,0.160000,36,3,0.031697,0.026547,0.033761,0.007214,0.022646,0.039721,0.030461,0.004598,0.022646,0.039721
fig1_regionCD_by_force,Region CD (Proximal) across forces; boxplot over hold-phase frames (all trials),Max compressive strain (%),0.16,Region CD,0.160000,36,3,4.957960,4.167092,5.504100,1.337008,3.293288,6.377305,4.874686,0.885198,3.293288,6.377305
fig1_regionCD_by_force,Region CD (Proximal) across forces; boxplot over hold-phase frames (all trials),Deformation radius (mm),0.40,Region CD,0.400000,35,3,0.986074,0.897534,1.037948,0.140415,0.839049,1.061194,0.966450,0.079241,0.839049,1.061194
fig1_regionCD_by_force,Region CD (Proximal) across forces; boxplot over hold-phase frames (all trials),Penetration depth (mm),0.40,Region CD,0.400000,35,3,0.058339,0.055259,0.063442,0.008182,0.051964,0.072355,0.059798,0.006133,0.051964,0.072355
fig1_regionCD_by_force,Region CD (Proximal) across forces; boxplot over hold-phase frames (all trials),Max compressive strain (%),0.40,Region CD,0.400000,35,3,5.182528,4.841342,5.803616,0.962274,4.354001,6.623453,5.898611,1.839119,4.354001,11.544206
fig1_regionCD_by_force,Region CD (Proximal) across forces; boxplot over hold-phase frames (all trials),Deformation radius (mm),0.60,Region CD,0.600000,36,3,0.994247,0.985500,1.070199,0.084699,0.973583,1.140850,1.024480,0.050555,0.973583,1.140850
fig1_regionCD_by_force,Region CD (Proximal) across forces; boxplot over hold-phase frames (all trials),Penetration depth (mm),0.60,Region CD,0.600000,36,3,0.075125,0.073200,0.080618,0.007419,0.067282,0.087035,0.075995,0.005489,0.060944,0.087035
fig1_regionCD_by_force,Region CD (Proximal) across forces; boxplot over hold-phase frames (all trials),Max compressive strain (%),0.60,Region CD,0.600000,36,3,6.007172,5.696178,6.466409,0.770231,5.011239,7.600432,6.051319,0.537673,5.011239,7.600432
fig1_regionCD_by_force,Region CD (Proximal) across forces; boxplot over hold-phase frames (all trials),Deformation radius (mm),1.00,Region CD,1.000000,35,3,1.155590,1.041406,1.253389,0.211984,0.997813,1.419524,1.173614,0.135670,0.997813,1.574904
fig1_regionCD_by_force,Region CD (Proximal) across forces; boxplot over hold-phase frames (all trials),Penetration depth (mm),1.00,Region CD,1.000000,35,3,0.086991,0.080290,0.109898,0.029608,0.073844,0.119678,0.093201,0.014898,0.073844,0.119678
fig1_regionCD_by_force,Region CD (Proximal) across forces; boxplot over hold-phase frames (all trials),Max compressive strain (%),1.00,Region CD,1.000000,35,3,9.377132,9.051370,9.729519,0.678149,8.216683,10.657269,9.327599,0.603536,7.861470,10.657269
