panel_order,panel_label,panel_col,panel_row,section,force_pair,group,n_subjects,mean_pct,sd_pct,sem_pct,median_pct,q1_pct,q3_pct,iqr_pct,whisker_lo_pct,whisker_hi_pct,min_pct,max_pct,statistical_test,contrast,p_value,significance,subject_id,accuracy_pct,mean_same_trial_pct,mean_diff_trial_pct,same_trial_accuracy_pct,diff_trial_accuracy_pct,n_trials
"(1,1)","(1,1) 2AFC — Low band",1,1,descriptive,0.4–1,,25.000000,72.333300,10.408300,2.081700,66.666700,66.666700,83.333300,16.666700,50.000000,91.666700,50.000000,91.666700,,,,,,,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,descriptive,0.6–1,,25.000000,21.666700,11.537000,2.307400,16.666700,16.666700,25.000000,8.333300,8.333300,33.333300,0.000000,50.000000,,,,,,,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,descriptive,1–1.4,,25.000000,34.333300,15.833300,3.166700,33.333300,16.666700,41.666700,25.000000,8.333300,66.666700,8.333300,66.666700,,,,,,,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,descriptive,1–2,,25.000000,71.333300,15.971600,3.194300,75.000000,58.333300,83.333300,25.000000,33.333300,91.666700,33.333300,91.666700,,,,,,,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,inferential,0.4–1 vs 0.6–1,,,,,,,,,,,,,,"GEE (binomial, subject clustering)",0.6–1 − 0.4–1,0.000000,***,,,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,inferential,0.4–1 vs 1–1.4,,,,,,,,,,,,,,"GEE (binomial, subject clustering)",1–1.4 − 0.4–1,0.000000,***,,,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,inferential,0.4–1 vs 1–2,,,,,,,,,,,,,,"GEE (binomial, subject clustering)",1–2 − 0.4–1,0.758968,,,,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,inferential,0.6–1 vs 1–1.4,,,,,,,,,,,,,,"GEE (binomial, subject clustering)",1–1.4 − 0.6–1,0.001465,**,,,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,inferential,0.6–1 vs 1–2,,,,,,,,,,,,,,"GEE (binomial, subject clustering)",1–2 − 0.6–1,0.000000,***,,,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,inferential,1–1.4 vs 1–2,,,,,,,,,,,,,,"GEE (binomial, subject clustering)",1–2 − 1–1.4,0.000000,***,,,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P21,50.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P21,16.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P21,25.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P21,66.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P22,58.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P22,8.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P22,41.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P22,75.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P23,66.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P23,33.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P23,16.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P23,50.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P24,66.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P24,16.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P24,41.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P24,33.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P25,66.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P25,16.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P25,16.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P25,41.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P26,66.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P26,33.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P26,16.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P26,58.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P27,66.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P27,33.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P27,33.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P27,66.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P28,83.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P28,25.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P28,33.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P28,66.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P30,66.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P30,25.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P30,25.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P30,91.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P32,83.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P32,0.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–1.4,all pairs,,,,,,,,,,,,,,,,,P32,16.666700,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,1–2,all pairs,,,,,,,,,,,,,,,,,P32,58.333300,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.4–1,all pairs,,,,,,,,,,,,,,,,,P42,75.000000,,,,,
"(1,1)","(1,1) 2AFC — Low band",1,1,subject_data,0.6–1,all pairs,,,,,,,,,,,,,,,,,P42,16.666700,,,,,
