region_a,region_b,contrast,coef,ci_lo,ci_hi,p,sig
A,B,B − A,-1.624097681737371e-16,-0.0730359981818619,0.07303599818186157,0.9999999999999966,n.s.
A,C,C − A,-0.022857142857142815,-0.09674375196098096,0.05102946624669534,0.5443000522293393,n.s.
A,D,D − A,0.011428571428571264,-0.06187262729847738,0.0847297701556199,0.7599222884732681,n.s.
A,E,E − A,0.01714285714285715,-0.05661916330346435,0.09090487758917866,0.6487419395142835,n.s.
A,F,F − A,0.028571428571427294,-0.0450763281553455,0.10221918529820008,0.4470381061739829,n.s.
B,C,C − B,-0.02285714285714287,-0.09649144003831533,0.0507771543240296,0.542921577672759,n.s.
B,D,D − B,0.011428571428571756,-0.06136319234527697,0.08422033520242049,0.7582942829065995,n.s.
B,E,E − B,0.017142857142857303,-0.05619956329484939,0.090485277580564,0.6468686508412249,n.s.
B,F,F − B,0.028571428571428702,-0.045086359455305855,0.10222921659816327,0.44709998932216166,n.s.
C,D,D − C,0.03428571428571395,-0.03930747320106695,0.10787890177249485,0.3611840500969097,n.s.
C,E,E − C,0.03999999999999934,-0.03387472891906122,0.1138747289190599,0.28858243171733633,n.s.
C,F,F − C,0.051428571428572684,-0.02230353966462975,0.12516068252177512,0.17159830439949153,n.s.
D,E,E − D,0.005714285714285872,-0.06797985578376449,0.07940842721233622,0.8792052939995794,n.s.
D,F,F − D,0.017142857142856644,-0.05641007827489947,0.09069579256061275,0.6478108800342723,n.s.
E,F,F − E,0.0114285714285711,-0.062095220013779755,0.08495236287092195,0.7606268777121404,n.s.
