Region,ForcePair,Band,WeberRatio,mean_acc,sem_acc,n_subj
A,0.4--1,Low (ref=1g),0.6,0.7,0.057735026918962574,25
A,0.6--1,Low (ref=1g),0.4,0.3,0.06454972243679027,25
A,1--1.4,Low (ref=1g),0.3999999999999999,0.28,0.06506407098647712,25
A,1--2,Low (ref=1g),1.0,0.76,0.06531972647421808,25
A,10--26,High (ref=26g),0.6153846153846154,0.8,0.06454972243679027,25
A,15--26,High (ref=26g),0.4230769230769231,0.22,0.05830951894845301,25
A,26--60,High (ref=26g),1.3076923076923077,0.74,0.06531972647421809,25
B,0.4--1,Low (ref=1g),0.6,0.82,0.04898979485566356,25
B,0.6--1,Low (ref=1g),0.4,0.16,0.05567764362830022,25
B,1--1.4,Low (ref=1g),0.3999999999999999,0.28,0.08205689083394115,25
B,1--2,Low (ref=1g),1.0,0.76,0.06531972647421809,25
B,10--26,High (ref=26g),0.6153846153846154,0.84,0.06271629240742259,25
B,15--26,High (ref=26g),0.4230769230769231,0.24,0.06531972647421809,25
B,26--60,High (ref=26g),1.3076923076923077,0.7,0.07637626158259733,25
C,0.4--1,Low (ref=1g),0.6,0.6,0.07071067811865475,25
C,0.6--1,Low (ref=1g),0.4,0.16,0.04760952285695234,25
C,1--1.4,Low (ref=1g),0.3999999999999999,0.3,0.06454972243679027,25
C,1--2,Low (ref=1g),1.0,0.7,0.07071067811865475,25
C,10--26,High (ref=26g),0.6153846153846154,0.86,0.045825756949558406,25
C,15--26,High (ref=26g),0.4230769230769231,0.34,0.06904105059069326,25
C,26--60,High (ref=26g),1.3076923076923077,0.68,0.048989794855663564,25
D,0.4--1,Low (ref=1g),0.6,0.68,0.048989794855663564,25
D,0.6--1,Low (ref=1g),0.4,0.24,0.05859465277082315,25
D,1--1.4,Low (ref=1g),0.3999999999999999,0.38,0.07234178138070235,25
D,1--2,Low (ref=1g),1.0,0.74,0.07702813338860895,25
D,10--26,High (ref=26g),0.6153846153846154,0.86,0.0458257569495584,25
D,15--26,High (ref=26g),0.4230769230769231,0.24,0.06531972647421809,25
D,26--60,High (ref=26g),1.3076923076923077,0.74,0.06531972647421809,25
E,0.4--1,Low (ref=1g),0.6,0.72,0.06506407098647712,25
E,0.6--1,Low (ref=1g),0.4,0.24,0.0714142842854285,25
E,1--1.4,Low (ref=1g),0.3999999999999999,0.42,0.06244997998398398,25
E,1--2,Low (ref=1g),1.0,0.64,0.07371114795831993,25
E,10--26,High (ref=26g),0.6153846153846154,0.8,0.057735026918962574,25
E,15--26,High (ref=26g),0.4230769230769231,0.26,0.05859465277082315,25
E,26--60,High (ref=26g),1.3076923076923077,0.84,0.05567764362830022,25
F,0.4--1,Low (ref=1g),0.6,0.82,0.06999999999999999,25
F,0.6--1,Low (ref=1g),0.4,0.2,0.05,25
F,1--1.4,Low (ref=1g),0.3999999999999999,0.4,0.08164965809277261,25
F,1--2,Low (ref=1g),1.0,0.68,0.06999999999999999,25
F,10--26,High (ref=26g),0.6153846153846154,0.84,0.05567764362830022,25
F,15--26,High (ref=26g),0.4230769230769231,0.24,0.05859465277082315,25
F,26--60,High (ref=26g),1.3076923076923077,0.82,0.05686240703077326,25
