paradigm,band,pair_label,n_subjects,n_with_data,median_accuracy_pct,mean_accuracy_pct,sem_pct
Stronger,Low,0.4–1,25,25,66.66666666666666,72.33333333333333,2.081665999466133
Stronger,Low,0.6–1,25,25,16.666666666666664,21.666666666666664,2.307395517477243
Stronger,Low,1–1.4,25,25,33.33333333333333,34.333333333333336,3.166666666666666
Stronger,Low,1–2,25,25,75.0,71.33333333333334,3.1943236692144557
SameDiff,Low,0.4–1,15,15,66.66666666666666,69.53703703703705,3.9527696132115206
SameDiff,Low,0.6–1,15,15,50.0,50.69444444444444,1.6779271281506514
SameDiff,Low,1–1.4,15,15,52.77777777777778,51.85185185185185,2.679020473170971
SameDiff,Low,1–2,15,15,72.22222222222221,72.17592592592592,2.4775471258736834
Stronger,High,10–26,25,25,83.33333333333334,83.33333333333333,2.307395517477243
Stronger,High,15–26,25,25,25.0,25.666666666666664,2.802115602870776
Stronger,High,26–60,25,25,75.0,75.33333333333334,2.7419917065006816
SameDiff,High,10–26,15,15,72.22222222222221,69.62962962962962,1.8676574174309832
SameDiff,High,15–26,15,15,50.0,53.8888888888889,2.5831270896791834
SameDiff,High,26–60,15,15,83.33333333333334,82.03703703703702,1.815786372052616
