paradigm,band,pair_label,n_subjects,n_with_data,median_accuracy_pct,mean_accuracy_pct,sem_pct
Stronger,Low,0.4–1,25,25,66.66666666666666,72.33333333333333,2.081665999466133
Stronger,Low,0.6–1,25,25,16.666666666666664,21.666666666666664,2.307395517477243
Stronger,Low,1–1.4,25,25,33.33333333333333,34.333333333333336,3.166666666666666
Stronger,Low,1–2,25,25,75.0,71.33333333333334,3.1943236692144557
SameDiff,Low,0.4–1,14,14,66.66666666666667,69.04761904761905,5.92024291061648
SameDiff,Low,0.6–1,14,14,39.583333333333336,40.773809523809526,2.8028748074903973
SameDiff,Low,1–1.4,14,14,39.583333333333336,40.476190476190474,3.843427430665442
SameDiff,Low,1–2,14,14,68.75,70.23809523809523,3.8042259406940193
Stronger,High,10–26,25,25,83.33333333333334,83.33333333333333,2.307395517477243
Stronger,High,15–26,25,25,25.0,25.666666666666664,2.802115602870776
Stronger,High,26–60,25,25,75.0,75.33333333333334,2.7419917065006816
SameDiff,High,10–26,14,14,64.58333333333333,65.17857142857143,3.286273310728516
SameDiff,High,15–26,14,14,41.66666666666667,39.28571428571428,3.048570421559946
SameDiff,High,26–60,14,14,83.33333333333334,80.95238095238095,3.1105215795382404
