Subject,pair_label,accuracy
P74,0.4–1,0.9166666666666666
P74,0.6–1,0.3333333333333333
P74,1–1.4,0.4583333333333333
P74,1–2,0.7916666666666666
P75,0.4–1,1.0
P75,0.6–1,0.4583333333333333
P75,1–1.4,0.2916666666666667
P75,1–2,1.0
P76,0.4–1,0.5416666666666666
P76,0.6–1,0.20833333333333334
P76,1–1.4,0.5833333333333334
P76,1–2,0.75
P77,0.4–1,0.8333333333333334
P77,0.6–1,0.5
P77,1–1.4,0.5
P77,1–2,0.6666666666666666
P78,0.4–1,0.9166666666666666
P78,0.6–1,0.4583333333333333
P78,1–1.4,0.4166666666666667
P78,1–2,0.6666666666666666
