Subject,band,pair_label,n_total_trials,n_same_excluded,n_different_kept,n_trials_pair,accuracy_pct
P74,Low,0.4–1,192,96,96,24,91.66666666666666
P74,Low,0.6–1,192,96,96,24,33.33333333333333
P74,Low,1–1.4,192,96,96,24,45.83333333333333
P74,Low,1–2,192,96,96,24,79.16666666666666
P75,Low,0.4–1,144,48,96,24,100.0
P75,Low,0.6–1,144,48,96,24,45.83333333333333
P75,Low,1–1.4,144,48,96,24,29.166666666666668
P75,Low,1–2,144,48,96,24,100.0
P76,Low,0.4–1,144,48,96,24,54.166666666666664
P76,Low,0.6–1,144,48,96,24,20.833333333333336
P76,Low,1–1.4,144,48,96,24,58.333333333333336
P76,Low,1–2,144,48,96,24,75.0
P77,Low,0.4–1,144,48,96,24,83.33333333333334
P77,Low,0.6–1,144,48,96,24,50.0
P77,Low,1–1.4,144,48,96,24,50.0
P77,Low,1–2,144,48,96,24,66.66666666666666
P78,Low,0.4–1,144,48,96,24,91.66666666666666
P78,Low,0.6–1,144,48,96,24,45.83333333333333
P78,Low,1–1.4,144,48,96,24,41.66666666666667
P78,Low,1–2,144,48,96,24,66.66666666666666
