Subject,band,pair_label,n_trials,accuracy_pct,same_accuracy_pct,different_accuracy_pct
P74,Low,0.4–1,48,79.16666666666666,66.66666666666666,91.66666666666666
P74,Low,0.6–1,48,52.083333333333336,70.83333333333334,33.33333333333333
P74,Low,1–1.4,48,58.333333333333336,70.83333333333334,45.83333333333333
P74,Low,1–2,48,77.08333333333334,75.0,79.16666666666666
P75,Low,0.4–1,36,97.22222222222221,91.66666666666666,100.0
P75,Low,0.6–1,36,58.333333333333336,83.33333333333334,45.83333333333333
P75,Low,1–1.4,36,50.0,91.66666666666666,29.166666666666668
P75,Low,1–2,36,80.55555555555556,41.66666666666667,100.0
P76,Low,0.4–1,36,50.0,41.66666666666667,54.166666666666664
P76,Low,0.6–1,36,41.66666666666667,83.33333333333334,20.833333333333336
P76,Low,1–1.4,36,66.66666666666666,83.33333333333334,58.333333333333336
P76,Low,1–2,36,80.55555555555556,91.66666666666666,75.0
P77,Low,0.4–1,36,72.22222222222221,50.0,83.33333333333334
P77,Low,0.6–1,36,50.0,50.0,50.0
P77,Low,1–1.4,36,58.333333333333336,75.0,50.0
P77,Low,1–2,36,72.22222222222221,83.33333333333334,66.66666666666666
