Subject,band,pair_label,n_diff,n_same,hits,false_alarms,H,FA,d_prime,criterion
P76,High,10–26,24,12,17,1,0.7,0.11538461538461539,1.7227802150149651,0.3369895947994419
P76,High,15–26,24,12,14,1,0.58,0.11538461538461539,1.4002731814487752,0.49824311158253687
P76,High,26–60,24,12,18,0,0.74,0.038461538461538464,2.412170443911623,0.5627398165628947
P76,Low,0.4–1,24,12,13,7,0.54,0.5769230769230769,-0.0935944219124563,-0.14723093146769803
P76,Low,0.6–1,24,12,5,2,0.22,0.19230769230769232,0.09723055910020117,0.8208084937387854
P76,Low,1–1.4,24,12,14,2,0.58,0.19230769230769232,1.0713172524307368,0.3337651470735176
P76,Low,1–2,24,12,18,1,0.74,0.11538461538461539,1.8417251076998413,0.27751714845700376
P77,High,10–26,24,12,13,3,0.54,0.2692307692307692,0.7155748251074434,0.2573536920422518
P77,High,15–26,24,12,10,4,0.42,0.34615384615384615,0.1938318166726364,0.2988093874781691
P77,High,26–60,24,12,21,2,0.86,0.19230769230769232,1.9497431141038417,-0.10544778376303493
P77,Low,0.4–1,24,12,20,6,0.82,0.5,0.9153650878428138,-0.4576825439214069
P77,Low,0.6–1,24,12,12,6,0.5,0.5,0.0,-0.0
P77,Low,1–1.4,24,12,12,3,0.5,0.2692307692307692,0.6151411045959735,0.30757055229798674
P77,Low,1–2,24,12,16,2,0.66,0.19230769230769232,1.2818869027302908,0.22848032192374054
P78,High,10–26,24,12,15,5,0.62,0.4230769230769231,0.4995089305233237,-0.05572632283773553
P78,High,15–26,24,12,8,3,0.34,0.2692307692307692,0.20267797515456876,0.513802117018689
P78,High,26–60,24,12,20,0,0.82,0.038461538461538464,2.68419012636152,0.42672997533794627
P78,Low,0.4–1,24,12,22,2,0.9,0.19230769230769232,2.1509753388334865,-0.2060638961278572
P78,Low,0.6–1,24,12,11,5,0.46,0.4230769230769231,0.09359442191245658,0.14723093146769803
P78,Low,1–1.4,24,12,10,3,0.42,0.2692307692307692,0.41324762545412264,0.40851729186891217
P78,Low,1–2,24,12,16,3,0.66,0.2692307692307692,1.0276042340373783,0.1013389875772843
P79,High,10–26,24,12,12,1,0.5,0.11538461538461539,1.1983797023069245,0.5991898511534622
P79,High,15–26,24,12,11,0,0.46,0.038461538461538464,1.6683913180072365,0.9346293795150881
P79,High,26–60,24,12,20,2,0.82,0.19230769230769232,1.7847888611316998,-0.0229706572769639
P79,Low,0.4–1,24,12,9,3,0.38,0.2692307692307692,0.3096603164965761,0.46031094634768543
P79,Low,0.6–1,24,12,7,3,0.3,0.2692307692307692,0.0907405918879326,0.5697708086520072
P79,Low,1–1.4,24,12,6,7,0.26,0.5769230769230769,-0.8373735478168431,0.22465863148449539
