band,pair_label,region_group,n_subjects,n_diff,n_same,hits,false_alarms,H,FA,d_prime,criterion
High,10–26,Off-nail,14,112,56,71,10,0.6327433628318584,0.18421052631578946,1.2385629497152284,0.2801534328096197
High,10–26,On-nail,14,112,56,71,12,0.6327433628318584,0.21929824561403508,1.1136934723846668,0.2177186941443389
High,15–26,Off-nail,14,112,56,46,7,0.41150442477876104,0.13157894736842105,0.8952816453855712,0.6713175583697745
High,15–26,On-nail,14,112,56,39,14,0.3495575221238938,0.2543859649122807,0.2742357875165375,0.5236332333819865
High,26–60,Off-nail,14,112,56,94,5,0.8362831858407079,0.09649122807017543,2.281102987720352,0.16125525502550286
High,26–60,On-nail,14,112,56,87,10,0.7743362831858407,0.18421052631578946,1.652638745258736,0.07311553503786578
Low,0.4–1,Off-nail,14,112,60,77,17,0.6858407079646017,0.28688524590163933,1.0466020217752459,0.03920620036719949
Low,0.4–1,On-nail,14,112,60,73,21,0.6504424778761062,0.3524590163934426,0.7652054033483084,-0.003912637949563563
Low,0.6–1,Off-nail,14,112,60,53,21,0.47345132743362833,0.3524590163934426,0.3120932154217394,0.222643456013721
Low,0.6–1,On-nail,14,112,60,42,14,0.37610619469026546,0.23770491803278687,0.397981142773231,0.5147140695236456
Low,1–1.4,Off-nail,14,112,60,45,20,0.4026548672566372,0.3360655737704918,0.17674371877942394,0.334853086931976
Low,1–1.4,On-nail,14,112,60,46,18,0.41150442477876104,0.30327868852459017,0.29131702921252234,0.36933525028325004
Low,1–2,Off-nail,14,112,60,86,15,0.7654867256637168,0.2540983606557377,1.3857120120751645,-0.03120782453083093
Low,1–2,On-nail,14,112,60,76,16,0.6769911504424779,0.27049180327868855,1.0706277250157488,0.07601240200917564
