========================================================================
Force Discrimination — GEE Pairwise Plot Data Export
========================================================================

N participants     : 25
Statistical method   : GEE (binomial, subject-clustered trials)
Significance alpha   : 0.05
Accuracy definition  : proportion correct (chose stronger force)

Low band  (reference = 1 g)  pairs: 0.4–1, 0.6–1, 1–1.4, 1–2
High band (reference = 26 g) pairs: 10–26, 15–26, 26–60

------------------------------------------------------------------------
1. Per-subject accuracy (values shown as box-plot dots)
------------------------------------------------------------------------
Subject      Band   Force pair (g)   Accuracy
P21          High   10–26              0.8333
P22          High   10–26              0.8333
P23          High   10–26              0.8333
P24          High   10–26              0.8333
P25          High   10–26              0.5833
P26          High   10–26              0.6667
P27          High   10–26              1.0000
P28          High   10–26              1.0000
P30          High   10–26              0.9167
P32          High   10–26              0.8333
P42          High   10–26              0.8333
P44          High   10–26              1.0000
P45          High   10–26              1.0000
P46          High   10–26              0.6667
P47          High   10–26              0.7500
P48          High   10–26              0.9167
P49          High   10–26              0.9167
P50          High   10–26              0.8333
P51          High   10–26              0.7500
P52          High   10–26              0.7500
P53          High   10–26              0.6667
P54          High   10–26              0.9167
P55          High   10–26              0.8333
P56          High   10–26              0.9167
P59          High   10–26              0.7500
P21          High   15–26              0.0000
P22          High   15–26              0.0833
P23          High   15–26              0.3333
P24          High   15–26              0.0833
P25          High   15–26              0.2500
P26          High   15–26              0.2500
P27          High   15–26              0.3333
P28          High   15–26              0.1667
P30          High   15–26              0.1667
P32          High   15–26              0.1667
P42          High   15–26              0.0833
P44          High   15–26              0.2500
P45          High   15–26              0.4167
P46          High   15–26              0.2500
P47          High   15–26              0.5000
P48          High   15–26              0.3333
P49          High   15–26              0.1667
P50          High   15–26              0.2500
P51          High   15–26              0.5833
P52          High   15–26              0.2500
P53          High   15–26              0.2500
P54          High   15–26              0.3333
P55          High   15–26              0.5000
P56          High   15–26              0.2500
P59          High   15–26              0.1667
P21          High   26–60              0.7500
P22          High   26–60              0.8333
P23          High   26–60              0.5833
P24          High   26–60              0.5000
P25          High   26–60              0.5000
P26          High   26–60              0.8333
P27          High   26–60              0.5000
P28          High   26–60              0.6667
P30          High   26–60              0.8333
P32          High   26–60              0.6667
P42          High   26–60              0.6667
P44          High   26–60              1.0000
P45          High   26–60              0.8333
P46          High   26–60              0.7500
P47          High   26–60              0.7500
P48          High   26–60              0.6667
P49          High   26–60              0.8333
P50          High   26–60              0.9167
P51          High   26–60              0.8333
P52          High   26–60              0.9167
P53          High   26–60              0.7500
P54          High   26–60              0.8333
P55          High   26–60              0.8333
P56          High   26–60              0.6667
P59          High   26–60              0.9167
P21          Low    0.4–1              0.5000
P22          Low    0.4–1              0.5833
P23          Low    0.4–1              0.6667
P24          Low    0.4–1              0.6667
P25          Low    0.4–1              0.6667
P26          Low    0.4–1              0.6667
P27          Low    0.4–1              0.6667
P28          Low    0.4–1              0.8333
P30          Low    0.4–1              0.6667
P32          Low    0.4–1              0.8333
P42          Low    0.4–1              0.7500
P44          Low    0.4–1              0.8333
P45          Low    0.4–1              0.6667
P46          Low    0.4–1              0.8333
P47          Low    0.4–1              0.7500
P48          Low    0.4–1              0.8333
