Subject,band,pair_label,accuracy
P21,High,10–26,0.8333333333333334
P21,High,15–26,0.0
P21,High,26–60,0.75
P21,Low,0.4–1,0.5
P21,Low,0.6–1,0.16666666666666666
P21,Low,1–1.4,0.25
P21,Low,1–2,0.6666666666666666
P22,High,10–26,0.8333333333333334
P22,High,15–26,0.08333333333333333
P22,High,26–60,0.8333333333333334
P22,Low,0.4–1,0.5833333333333334
P22,Low,0.6–1,0.08333333333333333
P22,Low,1–1.4,0.4166666666666667
P22,Low,1–2,0.75
P23,High,10–26,0.8333333333333334
P23,High,15–26,0.3333333333333333
P23,High,26–60,0.5833333333333334
P23,Low,0.4–1,0.6666666666666666
P23,Low,0.6–1,0.3333333333333333
P23,Low,1–1.4,0.16666666666666666
P23,Low,1–2,0.5
P24,High,10–26,0.8333333333333334
P24,High,15–26,0.08333333333333333
P24,High,26–60,0.5
P24,Low,0.4–1,0.6666666666666666
P24,Low,0.6–1,0.16666666666666666
P24,Low,1–1.4,0.4166666666666667
P24,Low,1–2,0.3333333333333333
P25,High,10–26,0.5833333333333334
P25,High,15–26,0.25
P25,High,26–60,0.5
P25,Low,0.4–1,0.6666666666666666
P25,Low,0.6–1,0.16666666666666666
P25,Low,1–1.4,0.16666666666666666
P25,Low,1–2,0.4166666666666667
P26,High,10–26,0.6666666666666666
P26,High,15–26,0.25
P26,High,26–60,0.8333333333333334
P26,Low,0.4–1,0.6666666666666666
P26,Low,0.6–1,0.3333333333333333
P26,Low,1–1.4,0.16666666666666666
P26,Low,1–2,0.5833333333333334
P27,High,10–26,1.0
P27,High,15–26,0.3333333333333333
P27,High,26–60,0.5
P27,Low,0.4–1,0.6666666666666666
P27,Low,0.6–1,0.3333333333333333
P27,Low,1–1.4,0.3333333333333333
P27,Low,1–2,0.6666666666666666
P28,High,10–26,1.0
P28,High,15–26,0.16666666666666666
P28,High,26–60,0.6666666666666666
P28,Low,0.4–1,0.8333333333333334
P28,Low,0.6–1,0.25
P28,Low,1–1.4,0.3333333333333333
P28,Low,1–2,0.6666666666666666
P30,High,10–26,0.9166666666666666
P30,High,15–26,0.16666666666666666
P30,High,26–60,0.8333333333333334
P30,Low,0.4–1,0.6666666666666666
P30,Low,0.6–1,0.25
P30,Low,1–1.4,0.25
P30,Low,1–2,0.9166666666666666
P32,High,10–26,0.8333333333333334
P32,High,15–26,0.16666666666666666
P32,High,26–60,0.6666666666666666
P32,Low,0.4–1,0.8333333333333334
P32,Low,0.6–1,0.0
P32,Low,1–1.4,0.16666666666666666
P32,Low,1–2,0.5833333333333334
P42,High,10–26,0.8333333333333334
P42,High,15–26,0.08333333333333333
P42,High,26–60,0.6666666666666666
P42,Low,0.4–1,0.75
P42,Low,0.6–1,0.16666666666666666
P42,Low,1–1.4,0.3333333333333333
P42,Low,1–2,0.6666666666666666
P44,High,10–26,1.0
P44,High,15–26,0.25
P44,High,26–60,1.0
P44,Low,0.4–1,0.8333333333333334
P44,Low,0.6–1,0.5
P44,Low,1–1.4,0.25
P44,Low,1–2,0.8333333333333334
P45,High,10–26,1.0
P45,High,15–26,0.4166666666666667
P45,High,26–60,0.8333333333333334
P45,Low,0.4–1,0.6666666666666666
P45,Low,0.6–1,0.16666666666666666
P45,Low,1–1.4,0.4166666666666667
P45,Low,1–2,0.75
P46,High,10–26,0.6666666666666666
P46,High,15–26,0.25
P46,High,26–60,0.75
P46,Low,0.4–1,0.8333333333333334
P46,Low,0.6–1,0.25
P46,Low,1–1.4,0.16666666666666666
P46,Low,1–2,0.5833333333333334
P47,High,10–26,0.75
P47,High,15–26,0.5
P47,High,26–60,0.75
P47,Low,0.4–1,0.75
P47,Low,0.6–1,0.08333333333333333
P47,Low,1–1.4,0.08333333333333333
P47,Low,1–2,0.8333333333333334
P48,High,10–26,0.9166666666666666
P48,High,15–26,0.3333333333333333
P48,High,26–60,0.6666666666666666
P48,Low,0.4–1,0.8333333333333334
P48,Low,0.6–1,0.16666666666666666
P48,Low,1–1.4,0.4166666666666667
P48,Low,1–2,0.8333333333333334
P49,High,10–26,0.9166666666666666
P49,High,15–26,0.16666666666666666
P49,High,26–60,0.8333333333333334
P49,Low,0.4–1,0.75
P49,Low,0.6–1,0.3333333333333333
P49,Low,1–1.4,0.16666666666666666
P49,Low,1–2,0.9166666666666666
P50,High,10–26,0.8333333333333334
P50,High,15–26,0.25
P50,High,26–60,0.9166666666666666
P50,Low,0.4–1,0.6666666666666666
P50,Low,0.6–1,0.25
P50,Low,1–1.4,0.5
P50,Low,1–2,0.8333333333333334
P51,High,10–26,0.75
P51,High,15–26,0.5833333333333334
P51,High,26–60,0.8333333333333334
P51,Low,0.4–1,0.6666666666666666
P51,Low,0.6–1,0.4166666666666667
P51,Low,1–1.4,0.4166666666666667
P51,Low,1–2,0.75
P52,High,10–26,0.75
P52,High,15–26,0.25
P52,High,26–60,0.9166666666666666
P52,Low,0.4–1,0.75
P52,Low,0.6–1,0.25
P52,Low,1–1.4,0.5833333333333334
P52,Low,1–2,0.9166666666666666
P53,High,10–26,0.6666666666666666
P53,High,15–26,0.25
P53,High,26–60,0.75
P53,Low,0.4–1,0.6666666666666666
P53,Low,0.6–1,0.25
P53,Low,1–1.4,0.5833333333333334
P53,Low,1–2,0.5833333333333334
P54,High,10–26,0.9166666666666666
P54,High,15–26,0.3333333333333333
P54,High,26–60,0.8333333333333334
P54,Low,0.4–1,0.9166666666666666
P54,Low,0.6–1,0.16666666666666666
P54,Low,1–1.4,0.6666666666666666
P54,Low,1–2,0.8333333333333334
P55,High,10–26,0.8333333333333334
P55,High,15–26,0.5
P55,High,26–60,0.8333333333333334
P55,Low,0.4–1,0.5833333333333334
P55,Low,0.6–1,0.16666666666666666
P55,Low,1–1.4,0.5
P55,Low,1–2,0.8333333333333334
P56,High,10–26,0.9166666666666666
P56,High,15–26,0.25
P56,High,26–60,0.6666666666666666
P56,Low,0.4–1,0.75
P56,Low,0.6–1,0.08333333333333333
P56,Low,1–1.4,0.5
P56,Low,1–2,0.6666666666666666
P59,High,10–26,0.75
P59,High,15–26,0.16666666666666666
P59,High,26–60,0.9166666666666666
P59,Low,0.4–1,0.9166666666666666
P59,Low,0.6–1,0.08333333333333333
P59,Low,1–1.4,0.3333333333333333
P59,Low,1–2,0.9166666666666666
