Subject,band,region_group,n_signal,n_noise,hits,false_alarms,H,FA,d_prime,criterion
P21,High,Off-nail,4,8,3,5,0.7,0.6111111111111112,0.24218436564553242,-0.40330832988527443
P21,High,On-nail,4,8,4,5,0.9,0.6111111111111112,0.9993354184820922,-0.7818838563035543
P21,Low,Off-nail,8,8,3,6,0.3888888888888889,0.7222222222222222,-0.8716719449122865,-0.15361982539363508
P21,Low,On-nail,8,8,3,5,0.3888888888888889,0.6111111111111112,-0.5644322941250164,-5.551115123125783e-17
P22,High,Off-nail,4,8,4,4,0.9,0.5,1.2815515655446004,-0.6407757827723002
P22,High,On-nail,4,8,2,3,0.5,0.3888888888888889,0.28221614706250814,0.14110807353125407
P22,Low,Off-nail,8,8,5,6,0.6111111111111112,0.7222222222222222,-0.30723965078727006,-0.43583597245614325
P22,Low,On-nail,8,8,5,5,0.6111111111111112,0.6111111111111112,0.0,-0.28221614706250825
P23,High,Off-nail,4,8,4,2,0.9,0.2777777777777778,1.8710073633943787,-0.34604788384741103
P23,High,On-nail,4,8,2,4,0.5,0.5,0.0,-0.0
P23,Low,Off-nail,8,8,3,3,0.3888888888888889,0.3888888888888889,0.0,0.28221614706250814
P23,Low,On-nail,8,8,3,6,0.3888888888888889,0.7222222222222222,-0.8716719449122865,-0.15361982539363508
P24,High,Off-nail,4,8,3,4,0.7,0.5,0.5244005127080407,-0.26220025635402033
P24,High,On-nail,4,8,1,5,0.3,0.6111111111111112,-0.8066166597705491,0.12109218282276632
P24,Low,Off-nail,8,8,3,4,0.3888888888888889,0.5,-0.28221614706250814,0.14110807353125407
P24,Low,On-nail,8,8,2,6,0.2777777777777778,0.7222222222222222,-1.1789115956995566,-0.0
P25,High,Off-nail,4,8,2,5,0.5,0.6111111111111112,-0.28221614706250825,-0.14110807353125412
P25,High,On-nail,4,8,2,4,0.5,0.5,0.0,-0.0
P25,Low,Off-nail,8,8,4,4,0.5,0.5,0.0,-0.0
P25,Low,On-nail,8,8,3,5,0.3888888888888889,0.6111111111111112,-0.5644322941250164,-5.551115123125783e-17
P26,High,Off-nail,4,8,2,4,0.5,0.5,0.0,-0.0
P26,High,On-nail,4,8,4,5,0.9,0.6111111111111112,0.9993354184820922,-0.7818838563035543
P26,Low,Off-nail,8,8,2,4,0.2777777777777778,0.5,-0.5894557978497783,0.29472789892488915
