band,pair_label,region_group,n_subjects,n_trials,n_signal,n_noise,hits,false_alarms,pc,H,FA,d_prime,criterion,pair_type
High,10–26,Off-nail,25,100,0,100,,18.0,0.8168316831683168,,0.18316831683168316,1.277539241448062,-0.9033566608598429,reference-stronger
High,10–26,On-nail,25,100,0,100,,14.0,0.8564356435643564,,0.14356435643564355,1.5053476974394138,-1.0644415649029646,reference-stronger
High,15–26,Off-nail,25,100,0,100,,77.0,0.23267326732673269,,0.7673267326732673,-1.0324768927143364,0.7300714122567227,reference-stronger
High,15–26,On-nail,25,100,0,100,,71.0,0.29207920792079206,,0.7079207920792079,-0.7740283757896146,0.5473207133516457,reference-stronger
High,26–60,Off-nail,25,100,100,0,78.0,,0.7772277227722773,0.7772277227722773,,1.078852504565078,0.7628639218780574,comparison-stronger
High,26–60,On-nail,25,100,100,0,71.0,,0.7079207920792079,0.7079207920792079,,0.7740283757896145,0.5473207133516457,comparison-stronger
Low,0.4–1,Off-nail,25,100,0,100,,24.0,0.7574257425742574,,0.24257425742574257,0.9871859216362967,-0.698045859480917,reference-stronger
Low,0.4–1,On-nail,25,100,0,100,,36.0,0.6386138613861386,,0.3613861386138614,0.5017009669061879,-0.3547561558272131,reference-stronger
Low,0.6–1,Off-nail,25,100,0,100,,75.0,0.2524752475247525,,0.7475247524752475,-0.9428855868244672,0.666720792326638,reference-stronger
Low,0.6–1,On-nail,25,100,0,100,,80.0,0.20297029702970298,,0.7970297029702971,-1.1752941725463755,0.8310584792965744,reference-stronger
Low,1–1.4,Off-nail,25,100,100,0,34.0,,0.3415841584158416,0.3415841584158416,,-0.5772020898051781,-0.40814351181628794,comparison-stronger
Low,1–1.4,On-nail,25,100,100,0,34.0,,0.3415841584158416,0.3415841584158416,,-0.5772020898051781,-0.40814351181628794,comparison-stronger
Low,1–2,Off-nail,25,100,100,0,72.0,,0.7178217821782178,0.7178217821782178,,0.8151284398306383,0.576382847342255,comparison-stronger
Low,1–2,On-nail,25,100,100,0,72.0,,0.7178217821782178,0.7178217821782178,,0.8151284398306383,0.576382847342255,comparison-stronger
