ForcePair,Contrast,coef,p_value,significant_at_0.05
1--1.4,A vs C,-0.09716374845364772,0.7814584573171743,False
1--1.4,B vs C,-0.09716374845364785,0.7978635474413848,False
1--1.4,D vs C,0.3577496350684981,0.4616574861780649,False
1--1.4,E vs C,0.5245244681241523,0.09822293082042143,False
1--1.4,F vs C,0.44183275227903906,0.39100484255084145,False
0.6--1,A vs C,0.8109302162163288,0.09355174373370202,False
0.6--1,B vs C,-2.0425935091421518e-16,0.9999999999999997,False
0.6--1,D vs C,0.5055485666651467,0.30899650799958034,False
0.6--1,E vs C,0.5055485666651466,0.25486143246930293,False
0.6--1,F vs C,0.27193371548364154,0.563537095569923,False
1--2,A vs C,0.30538164955118163,0.5297171429402032,False
1--2,B vs C,0.3053816495511814,0.5297171429402036,False
1--2,D vs C,0.19867069479548372,0.7325417651362962,False
1--2,E vs C,-0.2719337154836422,0.5890538685595395,False
1--2,F vs C,-0.09352605801082385,0.8185335709715662,False
0.4--1,A vs C,0.44183275227903934,0.2631283080438186,False
0.4--1,B vs C,1.1108823812599231,0.029783874261182456,True
0.4--1,D vs C,0.3483066942682153,0.3591000622766286,False
0.4--1,E vs C,0.538996500732687,0.23177524080418144,False
0.4--1,F vs C,1.1108823812599244,0.051826904143164786,False
15--26,A vs C,-0.602372155921012,0.21153660592476642,False
15--26,B vs C,-0.48938529252812163,0.2461013312942415,False
15--26,D vs C,-0.4893852925281215,0.2935897181802559,False
15--26,E vs C,-0.38267433777242393,0.42744693178678006,False
15--26,F vs C,-0.4893852925281217,0.3097824106314907,False
26--60,A vs C,0.292196752806308,0.4963748822496119,False
26--60,B vs C,0.09352605801082393,0.8198433270975176,False
26--60,D vs C,0.2921967528063077,0.3741519221652947,False
26--60,E vs C,0.9044562742271531,0.037656350246390434,True
26--60,F vs C,0.7625756869917085,0.11568337553083646,False
10--26,A vs C,-0.4289956055183583,0.42327308497340177,False
10--26,B vs C,-0.15706189003471593,0.8166437913461914,False
10--26,D vs C,2.722250707791504e-16,0.9999999999999997,False
10--26,E vs C,-0.4289956055183587,0.30194362673369646,False
10--26,F vs C,-0.1570618900347159,0.7608337912015883,False
