Subject,force_g,jnd_mm,x50,beta,fit_ok
P24,1.0,2.869143457172859,2.8515741844494054,9.999999278427362,True
P24,26.0,2.0521026051302567,1.7561177791736062,0.589233117926522,True
P26,1.0,1.2200610030501526,0.992235794182137,0.764479633884463,True
P26,26.0,1.3240662033101656,1.3064759261763828,9.80301929187802,True
P27,1.0,3.044152207610381,3.026236766533692,9.999999999998114,True
P27,26.0,1.2200610030501526,0.992235794182137,0.764479633884463,True
P28,1.0,1.6170808540427022,1.5991015533787443,9.94752141027907,True
P28,26.0,1.5000750037501875,1.4825646251718876,9.999999993398603,True
P29,1.0,2.3241162058102907,2.306798076068814,9.9961837541728,True
P29,26.0,1.6170808540427022,1.5991015533787443,9.94752141027907,True
P32,1.0,2.869143457172859,2.8515742783778335,9.99999998664087,True
P32,26.0,2.8671433571678584,2.849928440798064,9.890448464953666,True
P34,1.0,5.818290914545727,5.794080988748751,7.207173661114373,True
P34,26.0,2.869143457172859,2.8515740787459123,9.999997633307952,True
P36,1.0,2.869143457172859,2.8515724848553052,9.99978116070007,True
P36,26.0,2.869143457172859,2.8515740787459123,9.999997633307952,True
P37,1.0,3.000150007500375,2.9825649467778605,9.999999697825498,True
P37,26.0,2.3241162058102907,2.306798076068814,9.9961837541728,True
P40,1.0,3.000150007500375,2.9825647099052706,9.99995545921885,True
P40,26.0,2.359117955897795,2.3413081632803534,9.993155113858085,True
P41,1.0,2.359117955897795,2.341284918570396,9.994539922267972,True
P41,26.0,3.000150007500375,2.9825647099052706,9.99995545921885,True
P44,1.0,2.0991049552477623,2.0812274009115797,9.999998649660682,True
P44,26.0,2.869143457172859,2.8515758595062075,9.9999970092059,True
P45,1.0,2.869143457172859,2.8515740787459123,9.999997633307952,True
P45,26.0,2.679133956697835,2.6366274216419847,4.06185434803836,True
P47,1.0,2.359117955897795,2.341284918570396,9.994539922267972,True
P47,26.0,2.6881344067203363,2.5573628593789826,1.3372677061107263,True
P48,1.0,3.000150007500375,2.982564624987954,9.999999987327655,True
P48,26.0,3.0521526076303815,2.793425611526378,0.6731733281398825,True
P49,1.0,2.0981049052452625,2.0810386958941702,9.999999986370938,True
P49,26.0,2.8671433571678584,2.849928440798064,9.890448464953666,True
P50,1.0,2.869143457172859,2.8515758595062075,9.9999970092059,True
P50,26.0,3.000150007500375,2.9825649467778605,9.999999697825498,True
P51,1.0,3.000150007500375,2.9825650686859517,9.999999999986894,True
P51,26.0,3.1321566078303915,3.0220725904807524,1.590313127912163,True
P52,1.0,2.3241162058102907,2.306798076068814,9.9961837541728,True
P52,26.0,3.1161558077903897,3.098581486533139,9.999993088278094,True
P53,1.0,2.886144307215361,2.7042125085976934,0.9573914421185686,True
P53,26.0,2.869143457172859,2.8515758595062075,9.9999970092059,True
P54,1.0,2.9721486074303716,2.8102295821951473,1.0769671976887873,True
P54,26.0,2.0981049052452625,2.0809876565329395,9.999794538429336,True
P55,1.0,3.000150007500375,2.9825651002261613,9.999995783019205,True
P55,26.0,4.5372268613430675,4.405588982942677,1.3202827201520695,True
P56,1.0,2.0981049052452625,2.0810792265941584,9.99999985565785,True
P56,26.0,3.8201910095504776,3.6757724902107625,1.2076319840871057,True
P59,1.0,5.098254912745637,5.080542043446537,9.999998590176132,True
P59,26.0,2.9721486074303716,2.8102295821951473,1.0769671976887873,True
P60,1.0,3.000150007500375,2.9825650686859517,9.999999999986894,True
P60,26.0,3.000150007500375,2.9825647099052706,9.99995545921885,True
