Subject,force_g,jnd_mm,x50,beta,fit_ok
P24,1.0,2.869143457172859,2.8515741844494054,9.999999278427362,True
P24,26.0,2.0521026051302567,1.7561177791736062,0.589233117926522,True
P27,1.0,3.044152207610381,3.026236766533692,9.999999999998114,True
P27,26.0,1.2200610030501526,0.992235794182137,0.764479633884463,True
P29,1.0,2.3241162058102907,2.306798076068814,9.9961837541728,True
P29,26.0,1.6170808540427022,1.5991015533787443,9.94752141027907,True
P34,1.0,5.818290914545727,5.794080988748751,7.207173661114373,True
P34,26.0,2.869143457172859,2.8515740787459123,9.999997633307952,True
P36,1.0,2.869143457172859,2.8515724848553052,9.99978116070007,True
P36,26.0,2.869143457172859,2.8515740787459123,9.999997633307952,True
P37,1.0,3.000150007500375,2.9825649467778605,9.999999697825498,True
P37,26.0,2.3241162058102907,2.306798076068814,9.9961837541728,True
P40,1.0,3.000150007500375,2.9825647099052706,9.99995545921885,True
P40,26.0,2.359117955897795,2.3413081632803534,9.993155113858085,True
P41,1.0,2.359117955897795,2.341284918570396,9.994539922267972,True
P41,26.0,3.000150007500375,2.9825647099052706,9.99995545921885,True
P44,1.0,2.0991049552477623,2.0812274009115797,9.999998649660682,True
P44,26.0,2.869143457172859,2.8515758595062075,9.9999970092059,True
P47,1.0,2.359117955897795,2.341284918570396,9.994539922267972,True
P47,26.0,2.6881344067203363,2.5573628593789826,1.3372677061107263,True
P49,1.0,2.0981049052452625,2.0810386958941702,9.999999986370938,True
P49,26.0,2.8671433571678584,2.849928440798064,9.890448464953666,True
P52,1.0,2.3241162058102907,2.306798076068814,9.9961837541728,True
P52,26.0,3.1161558077903897,3.098581486533139,9.999993088278094,True
P54,1.0,2.9721486074303716,2.8102295821951473,1.0769671976887873,True
P54,26.0,2.0981049052452625,2.0809876565329395,9.999794538429336,True
P56,1.0,2.0981049052452625,2.0810792265941584,9.99999985565785,True
P56,26.0,3.8201910095504776,3.6757724902107625,1.2076319840871057,True
P60,1.0,3.000150007500375,2.9825650686859517,9.999999999986894,True
P60,26.0,3.000150007500375,2.9825647099052706,9.99995545921885,True
