Subject,force_g,Area,accuracy,n_trials,accuracy_pct
P24,1.0,C,0.9230769230769231,13,92.3076923076923
P24,1.0,D,0.6842105263157895,19,68.42105263157895
P24,26.0,C,0.9047619047619048,21,90.47619047619048
P24,26.0,D,0.7272727272727273,11,72.72727272727273
P27,1.0,C,0.6428571428571429,14,64.28571428571429
P27,1.0,D,0.7307692307692307,26,73.07692307692307
P27,26.0,C,0.8947368421052632,19,89.47368421052632
P27,26.0,D,0.9047619047619048,21,90.47619047619048
P29,1.0,C,0.9285714285714286,14,92.85714285714286
P29,1.0,D,0.7777777777777778,18,77.77777777777779
P29,26.0,C,0.8888888888888888,18,88.88888888888889
P29,26.0,D,0.9285714285714286,14,92.85714285714286
P34,1.0,C,0.6111111111111112,18,61.111111111111114
P34,1.0,D,0.5714285714285714,14,57.14285714285714
P34,26.0,C,0.7727272727272727,22,77.27272727272727
P34,26.0,D,0.9,10,90.0
P36,1.0,C,0.6,10,60.0
P36,1.0,D,0.8636363636363636,22,86.36363636363636
P36,26.0,C,0.8666666666666667,15,86.66666666666667
P36,26.0,D,0.7647058823529411,17,76.47058823529412
P37,1.0,C,0.7222222222222222,18,72.22222222222221
P37,1.0,D,0.7857142857142857,14,78.57142857142857
P37,26.0,C,0.8461538461538461,13,84.61538461538461
P37,26.0,D,0.8421052631578947,19,84.21052631578947
P40,1.0,C,0.8095238095238095,21,80.95238095238095
P40,1.0,D,0.7272727272727273,11,72.72727272727273
P40,26.0,C,0.8235294117647058,17,82.35294117647058
P40,26.0,D,0.7333333333333333,15,73.33333333333333
P41,1.0,C,0.8666666666666667,15,86.66666666666667
P41,1.0,D,0.7647058823529411,17,76.47058823529412
P41,26.0,C,0.8,20,80.0
P41,26.0,D,0.75,12,75.0
P44,1.0,C,0.6153846153846154,13,61.53846153846154
P44,1.0,D,0.8947368421052632,19,89.47368421052632
P44,26.0,C,0.6,20,60.0
P44,26.0,D,0.9166666666666666,12,91.66666666666666
P47,1.0,C,0.75,12,75.0
P47,1.0,D,0.85,20,85.0
P47,26.0,C,1.0,10,100.0
P47,26.0,D,0.7727272727272727,22,77.27272727272727
P49,1.0,C,0.875,16,87.5
P49,1.0,D,0.875,16,87.5
P49,26.0,C,0.9090909090909091,11,90.9090909090909
P49,26.0,D,0.8095238095238095,21,80.95238095238095
P52,1.0,C,0.8333333333333334,18,83.33333333333334
P52,1.0,D,0.8571428571428571,14,85.71428571428571
P52,26.0,C,1.0,14,100.0
P52,26.0,D,0.6666666666666666,18,66.66666666666666
P54,1.0,C,0.7368421052631579,19,73.68421052631578
P54,1.0,D,0.8461538461538461,13,84.61538461538461
P54,26.0,C,0.6923076923076923,13,69.23076923076923
P54,26.0,D,0.9473684210526315,19,94.73684210526315
P56,1.0,C,0.8571428571428571,14,85.71428571428571
P56,1.0,D,0.7777777777777778,18,77.77777777777779
P56,26.0,C,0.8571428571428571,14,85.71428571428571
P56,26.0,D,0.6111111111111112,18,61.111111111111114
P60,1.0,C,0.8,15,80.0
P60,1.0,D,0.6470588235294118,17,64.70588235294117
P60,26.0,C,0.875,16,87.5
P60,26.0,D,0.6875,16,68.75
