Subject,force_g,side_grid,accuracy,n,accuracy_pct,definition
P24,1.0,Left (C),0.9230769230769231,13,92.3076923076923,grid_side
P24,1.0,Right (D),0.6842105263157895,19,68.42105263157895,grid_side
P24,26.0,Left (C),0.9047619047619048,21,90.47619047619048,grid_side
P24,26.0,Right (D),0.7272727272727273,11,72.72727272727273,grid_side
P26,1.0,Left (C),0.9523809523809523,21,95.23809523809523,grid_side
P26,1.0,Right (D),0.8421052631578947,19,84.21052631578947,grid_side
P26,26.0,Left (C),1.0,27,100.0,grid_side
P26,26.0,Right (D),0.9230769230769231,13,92.3076923076923,grid_side
P27,1.0,Left (C),0.6428571428571429,14,64.28571428571429,grid_side
P27,1.0,Right (D),0.7307692307692307,26,73.07692307692307,grid_side
P27,26.0,Left (C),0.8947368421052632,19,89.47368421052632,grid_side
P27,26.0,Right (D),0.9047619047619048,21,90.47619047619048,grid_side
P28,1.0,Left (C),1.0,13,100.0,grid_side
P28,1.0,Right (D),0.8421052631578947,19,84.21052631578947,grid_side
P28,26.0,Left (C),0.9545454545454546,22,95.45454545454545,grid_side
P28,26.0,Right (D),0.9,10,90.0,grid_side
P29,1.0,Left (C),0.9285714285714286,14,92.85714285714286,grid_side
P29,1.0,Right (D),0.7777777777777778,18,77.77777777777779,grid_side
P29,26.0,Left (C),0.8888888888888888,18,88.88888888888889,grid_side
P29,26.0,Right (D),0.9285714285714286,14,92.85714285714286,grid_side
P32,1.0,Left (C),0.8666666666666667,15,86.66666666666667,grid_side
P32,1.0,Right (D),0.6470588235294118,17,64.70588235294117,grid_side
P32,26.0,Left (C),0.6875,16,68.75,grid_side
P32,26.0,Right (D),1.0,16,100.0,grid_side
P34,1.0,Left (C),0.6111111111111112,18,61.111111111111114,grid_side
P34,1.0,Right (D),0.5714285714285714,14,57.14285714285714,grid_side
P34,26.0,Left (C),0.7727272727272727,22,77.27272727272727,grid_side
P34,26.0,Right (D),0.9,10,90.0,grid_side
P36,1.0,Left (C),0.6,10,60.0,grid_side
P36,1.0,Right (D),0.8636363636363636,22,86.36363636363636,grid_side
P36,26.0,Left (C),0.8666666666666667,15,86.66666666666667,grid_side
P36,26.0,Right (D),0.7647058823529411,17,76.47058823529412,grid_side
P37,1.0,Left (C),0.7222222222222222,18,72.22222222222221,grid_side
P37,1.0,Right (D),0.7857142857142857,14,78.57142857142857,grid_side
P37,26.0,Left (C),0.8461538461538461,13,84.61538461538461,grid_side
P37,26.0,Right (D),0.8421052631578947,19,84.21052631578947,grid_side
P40,1.0,Left (C),0.8095238095238095,21,80.95238095238095,grid_side
P40,1.0,Right (D),0.7272727272727273,11,72.72727272727273,grid_side
P40,26.0,Left (C),0.8235294117647058,17,82.35294117647058,grid_side
P40,26.0,Right (D),0.7333333333333333,15,73.33333333333333,grid_side
P41,1.0,Left (C),0.8666666666666667,15,86.66666666666667,grid_side
P41,1.0,Right (D),0.7647058823529411,17,76.47058823529412,grid_side
P41,26.0,Left (C),0.8,20,80.0,grid_side
P41,26.0,Right (D),0.75,12,75.0,grid_side
P44,1.0,Left (C),0.6153846153846154,13,61.53846153846154,grid_side
P44,1.0,Right (D),0.8947368421052632,19,89.47368421052632,grid_side
P44,26.0,Left (C),0.6,20,60.0,grid_side
P44,26.0,Right (D),0.9166666666666666,12,91.66666666666666,grid_side
P45,1.0,Left (C),0.6153846153846154,13,61.53846153846154,grid_side
P45,1.0,Right (D),0.9473684210526315,19,94.73684210526315,grid_side
P45,26.0,Left (C),0.7692307692307693,13,76.92307692307693,grid_side
P45,26.0,Right (D),0.8421052631578947,19,84.21052631578947,grid_side
P47,1.0,Left (C),0.75,12,75.0,grid_side
P47,1.0,Right (D),0.85,20,85.0,grid_side
P47,26.0,Left (C),1.0,10,100.0,grid_side
P47,26.0,Right (D),0.7727272727272727,22,77.27272727272727,grid_side
P48,1.0,Left (C),0.8823529411764706,17,88.23529411764706,grid_side
P48,1.0,Right (D),0.7333333333333333,15,73.33333333333333,grid_side
P48,26.0,Left (C),0.9,10,90.0,grid_side
P48,26.0,Right (D),0.7272727272727273,22,72.72727272727273,grid_side
P49,1.0,Left (C),0.875,16,87.5,grid_side
P49,1.0,Right (D),0.875,16,87.5,grid_side
P49,26.0,Left (C),0.9090909090909091,11,90.9090909090909,grid_side
P49,26.0,Right (D),0.8095238095238095,21,80.95238095238095,grid_side
P50,1.0,Left (C),0.6666666666666666,18,66.66666666666666,grid_side
P50,1.0,Right (D),0.7857142857142857,14,78.57142857142857,grid_side
P50,26.0,Left (C),0.7647058823529411,17,76.47058823529412,grid_side
P50,26.0,Right (D),0.7333333333333333,15,73.33333333333333,grid_side
P51,1.0,Left (C),0.7142857142857143,14,71.42857142857143,grid_side
P51,1.0,Right (D),0.7222222222222222,18,72.22222222222221,grid_side
P51,26.0,Left (C),0.7777777777777778,18,77.77777777777779,grid_side
P51,26.0,Right (D),0.7857142857142857,14,78.57142857142857,grid_side
P52,1.0,Left (C),0.8333333333333334,18,83.33333333333334,grid_side
P52,1.0,Right (D),0.8571428571428571,14,85.71428571428571,grid_side
P52,26.0,Left (C),1.0,14,100.0,grid_side
P52,26.0,Right (D),0.6666666666666666,18,66.66666666666666,grid_side
P53,1.0,Left (C),0.8666666666666667,15,86.66666666666667,grid_side
P53,1.0,Right (D),0.7647058823529411,17,76.47058823529412,grid_side
P53,26.0,Left (C),0.7857142857142857,14,78.57142857142857,grid_side
P53,26.0,Right (D),0.6666666666666666,18,66.66666666666666,grid_side
P54,1.0,Left (C),0.7368421052631579,19,73.68421052631578,grid_side
P54,1.0,Right (D),0.8461538461538461,13,84.61538461538461,grid_side
P54,26.0,Left (C),0.6923076923076923,13,69.23076923076923,grid_side
P54,26.0,Right (D),0.9473684210526315,19,94.73684210526315,grid_side
P55,1.0,Left (C),0.7,10,70.0,grid_side
P55,1.0,Right (D),0.7272727272727273,22,72.72727272727273,grid_side
P55,26.0,Left (C),0.6470588235294118,17,64.70588235294117,grid_side
P55,26.0,Right (D),0.6,15,60.0,grid_side
P56,1.0,Left (C),0.8571428571428571,14,85.71428571428571,grid_side
P56,1.0,Right (D),0.7777777777777778,18,77.77777777777779,grid_side
P56,26.0,Left (C),0.8571428571428571,14,85.71428571428571,grid_side
P56,26.0,Right (D),0.6111111111111112,18,61.111111111111114,grid_side
