Subject,force_g,p_left,n,p_left_pct
P24,1.0,0.5625,32,56.25
P24,26.0,0.6875,32,68.75
P26,1.0,0.575,40,57.49999999999999
P26,26.0,0.7,40,70.0
P27,1.0,0.4,40,40.0
P27,26.0,0.475,40,47.5
P28,1.0,0.5,32,50.0
P28,26.0,0.6875,32,68.75
P29,1.0,0.53125,32,53.125
P29,26.0,0.5,32,50.0
P32,1.0,0.59375,32,59.375
P32,26.0,0.34375,32,34.375
P34,1.0,0.53125,32,53.125
P34,26.0,0.5625,32,56.25
P36,1.0,0.28125,32,28.125
P36,26.0,0.53125,32,53.125
P37,1.0,0.5,32,50.0
P37,26.0,0.4375,32,43.75
P40,1.0,0.625,32,62.5
P40,26.0,0.5625,32,56.25
P41,1.0,0.53125,32,53.125
P41,26.0,0.59375,32,59.375
P44,1.0,0.3125,32,31.25
P44,26.0,0.40625,32,40.625
P45,1.0,0.25,32,25.0
P45,26.0,0.375,32,37.5
P47,1.0,0.375,32,37.5
P47,26.0,0.5,32,50.0
P48,1.0,0.625,32,62.5
P48,26.0,0.5,32,50.0
P49,1.0,0.5,32,50.0
P49,26.0,0.5,32,50.0
P50,1.0,0.53125,32,53.125
P50,26.0,0.53125,32,53.125
P51,1.0,0.46875,32,46.875
P51,26.0,0.53125,32,53.125
P52,1.0,0.53125,32,53.125
P52,26.0,0.625,32,62.5
P53,1.0,0.53125,32,53.125
P53,26.0,0.53125,32,53.125
P54,1.0,0.5,32,50.0
P54,26.0,0.3125,32,31.25
P55,1.0,0.40625,32,40.625
P55,26.0,0.53125,32,53.125
P56,1.0,0.5,32,50.0
P56,26.0,0.59375,32,59.375
P59,1.0,0.59375,32,59.375
P59,26.0,0.6875,32,68.75
P60,1.0,0.5625,32,56.25
P60,26.0,0.59375,32,59.375
