Subject,Reference,weber_fraction,slope,n_levels
P21,1.0,1.020480111106165,30.810548241857333,4
P21,26.0,1.2597563196667285,4.316806515425877,3
P22,1.0,0.991865694649909,11.436138353445417,4
P22,26.0,0.6068699449188033,96.41942748963895,3
P23,1.0,1.684726672985953,7.523410024199695,4
P23,26.0,0.6065609031040925,93.00706055930227,3
P24,1.0,2.773105660245825,31.90562984538363,4
P24,26.0,1.8081997115621413,21.6547829155417,3
P25,1.0,2.273512362137821,17.64173131462656,4
P25,26.0,2.198616946024819,11.457608534378675,3
P26,1.0,1.1945596730529147,7.759651377854567,4
P26,26.0,1.1313462978061775,5.153410996461777,3
P27,1.0,1.0849902383981618,6.556908291904876,4
P27,26.0,0.5328109832749008,76.87023999834797,3
P28,1.0,1.0692801483858585,4.862683063490461,4
P28,26.0,0.5370315014602143,78.08946933559814,3
P30,1.0,0.60726468394521,86.88921720275759,4
P30,26.0,0.5964624577346811,99.55909887480446,3
P32,1.0,1.2063104685069481,6.859435831806555,4
P32,26.0,0.6065406352276254,92.8274289435902,3
P42,1.0,1.079196801412055,6.391137474399959,4
P42,26.0,1.4556193729015177,3.3437747281498758,3
P44,1.0,0.5913060625275525,94.40261447304569,4
P44,26.0,,,3
P45,1.0,0.9800139436226613,7.859248604973456,4
P45,26.0,,,3
P46,1.0,1.2443305655871513,5.345914296203342,4
P46,26.0,1.2794895902086687,4.58380824158154,3
P47,1.0,0.8865206369011362,9.33111585999246,4
P47,26.0,1.1588950994413494,1.7179458293985599,3
P48,1.0,0.5910553329127645,91.78195793460375,4
P48,26.0,0.5957587452213307,95.98887687879494,3
P49,1.0,0.5991228689284196,95.03546802933245,4
P49,26.0,0.5964624577346811,99.55909887480446,3
P50,1.0,0.8655518166040641,7.595769760459443,4
P50,26.0,0.6068694099664411,96.41127251508604,3
P51,1.0,0.9633922621331465,5.729456378477264,4
P51,26.0,0.8368260369537672,2.110755964275643,3
P52,1.0,0.5991060016008404,93.26572574386348,4
P52,26.0,0.6145323187106522,97.82178621406588,3
P53,1.0,1.357081575559794,3.8158902466788507,4
P53,26.0,1.2794895902086687,4.58380824158154,3
P54,1.0,0.5798193203294462,93.34640002981187,4
P54,26.0,0.5962386724345259,98.39537678988441,3
P55,1.0,0.9180614848546945,10.449444822435524,4
P55,26.0,0.6000978867829285,53.704480142210144,3
P56,1.0,1.0825415996207317,5.787712046933925,4
P56,26.0,0.5959499569525243,96.93330972337361,3
P59,1.0,0.5807822798519191,98.02561131307318,4
P59,26.0,0.6145510250095592,99.99999954251089,3
P60,1.0,0.5133472726193489,79.0371812469385,4
P60,26.0,0.6095077917880513,7.936512244920734,3
