Subject,force_g,jnd_mm,slope
P24,1.0,2.8727044622653604,9.999999317913279
P24,26.0,1.9366286687256136,0.5533649596456641
P26,1.0,2.976608714761665,2.3581187543392788
P26,26.0,0.40793521268874156,0.8360072155086953
P28,1.0,1.604380310526709,9.999999704421048
P28,26.0,1.4916618203732317,9.999999987095707
P29,1.0,2.3402373706936963,9.99791529372286
P29,26.0,1.604380310526709,9.999999704421048
P32,1.0,3.092376469592862,1.2853511560772106
P32,26.0,2.8723482806928504,9.972178865995835
P34,1.0,5.816846294100846,6.948658932681435
P34,26.0,2.8727043845027014,9.999999180964332
P36,1.0,2.872701472936298,9.999693874785388
P36,26.0,2.8727043845027014,9.999999180964332
P37,1.0,2.9916620984051088,9.99999999548642
P37,26.0,2.3402373706936963,9.99791529372286
P40,1.0,2.991661959350159,9.999999999966318
P40,26.0,2.3746494929897977,9.99364579226041
P41,1.0,2.3745157568035444,9.995348514862133
P41,26.0,2.991661959350159,9.999999999966318
P44,1.0,2.1053068618276103,9.999999904422879
P44,26.0,2.8727055193336963,9.99999981438402
P45,1.0,2.872701472936298,9.999693874785388
P45,26.0,2.8727044622653604,9.999999317913279
P47,1.0,2.3745157568035444,9.995348514862133
P47,26.0,2.99166182018871,9.999999751815968
P48,1.0,2.991661959350159,9.999999999966318
P48,26.0,3.301753125174868,1.0184829950483658
P49,1.0,2.3745157568035444,9.995348514862133
P49,26.0,2.872701472936298,9.999693874785388
P50,1.0,2.8727055193336963,9.99999981438402
P50,26.0,2.9916620984051088,9.99999999548642
P51,1.0,2.9916622004254556,9.999981306207426
P51,26.0,3.135687065775864,1.391152198714281
P52,1.0,2.3402373706936963,9.99791529372286
P52,26.0,3.1058698600500274,9.859255576370913
P53,1.0,2.826403417715884,0.8945564818291323
P53,26.0,2.8727055193336963,9.99999981438402
P54,1.0,3.014236283369624,0.9078495681954408
P54,26.0,2.105603529668246,9.999938804463701
P55,1.0,2.9916622373353676,9.999999757125728
P55,26.0,4.523666015925152,1.2411849814007458
P56,1.0,2.1055717391500646,9.996273074731885
P56,26.0,3.806388380225392,1.1493505444678973
P59,1.0,5.1054154577215405,9.999997702339003
P59,26.0,3.014236283369624,0.9078495681954408
P60,1.0,2.9916622004254556,9.999981306207426
P60,26.0,2.991661959350159,9.999999999966318
