Subject,AT_threshold_In-air,AT_threshold_On-touch (Mid),FD_jnd_pct_ref1,FD_jnd_pct_ref26,SD_jnd_mm_1.0g,SD_jnd_mm_26.0g
P01,1.288,1.3679999999999999,,,,
P02,1.12,1.3466666666666667,,,,
P03,1.288,,,,,
P04,,,,,,
P05,1.12,1.2133333333333334,,,,
P06,1.4,1.3679999999999999,,,,
P07,1.3599999999999999,1.26,,,,
P08,,,,,,
P09,1.26,1.3733333333333333,,,,
P10,1.304,1.38,,,,
P11,1.3599999999999999,1.262857142857143,,,,
P12,,1.3679999999999999,,,,
P13,1.38,,,,,
P14,1.208,1.3679999999999999,,,,
P15,1.28,1.3599999999999999,,,,
P16,,,,,,
P17,1.32,,,,,
P18,1.3466666666666667,1.3466666666666667,,,,
P19,0.9440000000000001,1.08,,,,
P20,1.08,0.8400000000000001,,,,
P21,,,102.10180718466273,125.97870648330016,,
P22,,,99.18662698790335,59.90231753374231,,
P23,,,168.37545879246218,248.97788921235454,,
P24,,,583.1268454118796,272.5497833711527,2.8727044622653604,1.9366286687256136
P25,,,497.7959357563726,245.91734047549386,,
P26,,,119.44918181075951,113.13464400528264,2.976608714761665,0.4079356990374425
P27,,,108.49912468617218,4999.999999918696,,
P28,,,106.92350481476547,138.79110858287424,1.604380310526709,1.4916618203732317
P29,,1.4,,,2.3402373706936963,1.604380310526709
P30,,,61.26352261531333,57.81504357344747,,
P31,,1.3733333333333333,,,,
P32,,,120.63045051408761,146.8249749779568,3.092376469592862,2.8723482806928504
P34,1.12,1.288,,,5.816846294100846,2.8727043845027014
P36,,,,,2.872701472936298,2.8727043845027014
P37,1.3599999999999999,1.3599999999999999,,,2.9916620984051088,2.3402373706936963
P38,1.208,1.08,,,,
P40,1.3599999999999999,1.2933333333333332,,,2.991661959350159,2.3746494929897977
P41,1.3599999999999999,,,,2.3745157568035444,2.991661959350159
P42,1.08,1.3066666666666666,107.91941964741314,145.56315570961104,,
P44,,,58.36042198906085,54.077093234605385,2.1053068618276103,2.8727055193336963
P45,,,98.00155609798644,53.106644582238694,2.872701472936298,2.8727044622653604
P46,,1.3377777777777777,124.42209549284762,127.94901377923091,,
P47,,,88.65148551758733,115.88951103480727,2.3745157568035444,2.99166182018871
P48,,,58.36200511181705,146.61254254975879,2.991661959350159,3.301753125174868
P49,,,59.83488600279567,57.81504357344747,2.3745157568035444,2.872701472936298
P50,,,86.55462171652229,59.899997505490056,2.8727055193336963,2.9916620984051088
P51,,,96.33908240641608,83.6827874576453,2.9916622004254556,3.135687065775864
P52,,,59.83378694767336,61.37290997678135,2.3402373706936963,3.1058698600500274
P53,,,135.70889519267965,127.94901377923091,2.826403417715884,2.8727055193336963
P54,,,56.24782245143268,57.793400905963885,3.014236283369624,2.105603529668246
P55,,,91.80619465989245,79.10869365936817,2.9916622373353676,4.523666015925152
P56,,,108.25734033232244,144.7466960272209,2.1055717391500646,3.806388380225392
P59,,,56.28461061534878,61.373313521953555,5.1054154577215405,3.014236283369624
P60,,,51.85379139488576,60.95078325233515,2.9916622004254556,2.991661959350159
