force_g,offset_mm,abs_offset_mm,mean_acc,sem_acc,n_subj
1.0,-6.0,6.0,0.9791666666666666,0.01440758489183593,24
1.0,-4.5,4.5,0.90625,0.033011924174170156,24
1.0,-3.0,3.0,0.8562500000000001,0.03314883268978942,24
1.0,-1.5,1.5,0.34375,0.05171974540944099,24
1.0,1.5,1.5,0.3541666666666667,0.03336728343549613,24
1.0,3.0,3.0,0.8416666666666667,0.03333333333333333,24
1.0,4.5,4.5,0.8604166666666666,0.04473950029306798,24
1.0,6.0,6.0,1.0,0.0,24
26.0,-6.0,6.0,0.9791666666666666,0.01440758489183593,24
26.0,-4.5,4.5,0.96875,0.01723991513648033,24
26.0,-3.0,3.0,0.85,0.03283136534968715,24
26.0,-1.5,1.5,0.3666666666666667,0.04831083934343962,24
26.0,1.5,1.5,0.5270833333333333,0.05951031808801899,24
26.0,3.0,3.0,0.8291666666666666,0.03521629165695379,24
26.0,4.5,4.5,0.875,0.036860489038724284,24
26.0,6.0,6.0,0.9895833333333334,0.010416666666666666,24
