SubjectID,Gender,Condition,Area,Force,Target,Response,IsCorrect
P12,F,In-air,B,0.16g,8,2,0
P12,F,In-air,E,0.07g,7,2,0
P12,F,In-air,A,1.0g,7,5,0
P12,F,In-air,F,1.0g,6,6,1
P12,F,In-air,A,0.07g,8,0,0
P12,F,In-air,B,0.07g,7,0,0
P12,F,In-air,F,0.16g,5,4,0
P12,F,In-air,A,1.0g,5,5,1
P12,F,In-air,B,1.0g,8,5,0
P12,F,In-air,A,1.4g,7,7,1
P12,F,In-air,D,1.0g,6,6,1
P12,F,In-air,A,0.07g,5,0,0
P12,F,In-air,D,0.16g,8,0,0
P12,F,In-air,D,0.07g,5,0,0
P12,F,In-air,D,1.4g,7,7,1
P12,F,In-air,F,0.6g,5,7,0
P12,F,In-air,C,1.4g,7,6,0
P12,F,In-air,D,0.6g,6,7,0
P12,F,In-air,B,0.6g,6,6,1
P12,F,In-air,E,0.16g,5,2,0
P12,F,In-air,A,0.6g,7,7,1
P12,F,In-air,B,0.16g,5,1,0
P12,F,In-air,C,1.0g,5,5,1
P12,F,In-air,D,0.6g,5,2,0
P12,F,In-air,F,1.4g,6,6,1
P12,F,In-air,E,0.16g,7,0,0
P12,F,In-air,C,0.6g,6,6,1
P12,F,In-air,C,0.07g,5,0,0
P12,F,In-air,A,0.16g,6,0,0
P12,F,In-air,B,1.4g,6,6,1
P12,F,In-air,F,1.0g,8,7,0
P12,F,In-air,A,1.4g,8,8,1
P12,F,In-air,C,0.6g,8,5,0
P12,F,In-air,D,0.16g,5,0,0
P12,F,In-air,C,0.16g,7,2,0
P12,F,In-air,D,1.4g,8,8,1
P12,F,In-air,F,0.6g,6,6,1
P12,F,In-air,C,0.16g,5,0,0
P12,F,In-air,C,0.07g,6,0,0
P12,F,In-air,B,0.6g,5,3,0
P12,F,In-air,F,1.4g,6,7,0
P12,F,In-air,E,1.0g,8,6,0
P12,F,In-air,B,1.4g,5,5,1
P12,F,In-air,E,1.4g,5,5,1
P12,F,In-air,F,0.07g,5,0,0
