Subject,Session,Condition,Region,Reference,Comparison,FirstStim,SecondStim,UserChoice,ChoseComparison
P30,S01,On-touch (Mid),D,26,15,15,26,1,1
P30,S01,On-touch (Mid),D,26,15,15,26,2,0
P30,S01,On-touch (Mid),A,26,15,15,26,1,1
P30,S01,On-touch (Mid),C,26,15,15,26,1,1
P30,S01,On-touch (Mid),C,26,10,10,26,2,0
P30,S01,On-touch (Mid),B,26,60,26,60,2,1
P30,S01,On-touch (Mid),A,26,10,10,26,1,1
P30,S01,On-touch (Mid),D,26,10,10,26,2,0
P30,S01,On-touch (Mid),C,26,10,26,10,1,0
P30,S01,On-touch (Mid),E,26,10,10,26,2,0
P30,S01,On-touch (Mid),D,26,60,26,60,2,1
P30,S01,On-touch (Mid),C,26,60,26,60,2,1
P30,S01,On-touch (Mid),D,26,60,26,60,2,1
P30,S01,On-touch (Mid),E,26,15,15,26,1,1
P30,S01,On-touch (Mid),E,26,15,26,15,2,1
P30,S01,On-touch (Mid),B,26,15,26,15,2,1
P30,S01,On-touch (Mid),F,26,10,26,10,1,0
P30,S01,On-touch (Mid),E,26,60,60,26,1,1
P30,S01,On-touch (Mid),F,26,60,26,60,2,1
P30,S01,On-touch (Mid),B,26,10,26,10,1,0
P30,S01,On-touch (Mid),B,26,60,26,60,2,1
P30,S01,On-touch (Mid),A,26,15,26,15,2,1
P30,S01,On-touch (Mid),A,26,10,26,10,1,0
P30,S01,On-touch (Mid),A,26,60,26,60,2,1
P30,S01,On-touch (Mid),E,26,60,60,26,2,0
P30,S01,On-touch (Mid),F,26,10,26,10,1,0
P30,S01,On-touch (Mid),F,26,15,15,26,1,1
P30,S01,On-touch (Mid),A,26,60,26,60,2,1
P30,S01,On-touch (Mid),D,26,10,26,10,1,0
P30,S01,On-touch (Mid),F,26,15,26,15,2,1
P30,S01,On-touch (Mid),C,26,60,60,26,2,0
P30,S01,On-touch (Mid),E,26,10,10,26,2,0
P30,S01,On-touch (Mid),B,26,15,15,26,1,1
P30,S01,On-touch (Mid),B,26,10,10,26,2,0
P30,S01,On-touch (Mid),C,26,15,15,26,2,0
P30,S01,On-touch (Mid),F,26,60,26,60,2,1
P30,S01,On-touch (Mid),F,1,0.4,0.4,1,1,1
P30,S01,On-touch (Mid),C,1,2,1,2,2,1
P30,S01,On-touch (Mid),A,1,0.4,0.4,1,2,0
P30,S01,On-touch (Mid),C,1,0.6,0.6,1,1,1
P30,S01,On-touch (Mid),F,1,0.6,1,0.6,2,1
P30,S01,On-touch (Mid),B,1,1.4,1.4,1,2,0
P30,S01,On-touch (Mid),D,1,0.6,1,0.6,1,0
P30,S01,On-touch (Mid),E,1,0.6,0.6,1,1,1
P30,S01,On-touch (Mid),D,1,2,1,2,2,1
P30,S01,On-touch (Mid),C,1,0.4,0.4,1,1,1
P30,S01,On-touch (Mid),F,1,1.4,1.4,1,2,0
P30,S01,On-touch (Mid),A,1,0.6,1,0.6,2,1
P30,S01,On-touch (Mid),E,1,0.4,0.4,1,2,0
P30,S01,On-touch (Mid),C,1,1.4,1,1.4,1,0
P30,S01,On-touch (Mid),D,1,2,2,1,1,1
P30,S01,On-touch (Mid),D,1,0.4,1,0.4,1,0
P30,S01,On-touch (Mid),F,1,0.4,0.4,1,1,1
P30,S01,On-touch (Mid),E,1,1.4,1.4,1,2,0
P30,S01,On-touch (Mid),D,1,1.4,1.4,1,1,1
P30,S01,On-touch (Mid),C,1,2,2,1,1,1
P30,S01,On-touch (Mid),E,1,1.4,1,1.4,1,0
P30,S01,On-touch (Mid),E,1,2,1,2,2,1
P30,S01,On-touch (Mid),A,1,1.4,1,1.4,2,1
P30,S01,On-touch (Mid),F,1,2,1,2,2,1
P30,S01,On-touch (Mid),E,1,0.6,1,0.6,2,1
P30,S01,On-touch (Mid),B,1,2,2,1,1,1
P30,S01,On-touch (Mid),A,1,0.4,1,0.4,1,0
P30,S01,On-touch (Mid),C,1,0.4,0.4,1,2,0
P30,S01,On-touch (Mid),B,1,2,2,1,2,0
P30,S01,On-touch (Mid),E,1,2,2,1,1,1
P30,S01,On-touch (Mid),B,1,1.4,1,1.4,1,0
P30,S01,On-touch (Mid),F,1,0.6,0.6,1,1,1
P30,S01,On-touch (Mid),D,1,1.4,1,1.4,2,1
P30,S01,On-touch (Mid),B,1,0.6,1,0.6,2,1
P30,S01,On-touch (Mid),B,1,0.6,1,0.6,2,1
P30,S01,On-touch (Mid),B,1,0.4,1,0.4,1,0
P30,S01,On-touch (Mid),E,1,0.4,1,0.4,1,0
P30,S01,On-touch (Mid),A,1,0.6,0.6,1,2,0
P30,S01,On-touch (Mid),A,1,1.4,1,1.4,1,0
P30,S01,On-touch (Mid),C,1,1.4,1,1.4,1,0
P30,S01,On-touch (Mid),C,1,0.6,1,0.6,1,0
P30,S01,On-touch (Mid),F,1,1.4,1.4,1,2,0
P30,S01,On-touch (Mid),B,1,0.4,1,0.4,1,0
P30,S01,On-touch (Mid),D,1,0.6,1,0.6,2,1
P30,S01,On-touch (Mid),A,1,2,2,1,1,1
P30,S01,On-touch (Mid),A,1,2,1,2,2,1
P30,S01,On-touch (Mid),F,1,2,2,1,1,1
P30,S01,On-touch (Mid),D,1,0.4,0.4,1,1,1
