Subject,Session,Condition,Region,Reference,Comparison,Rep,TrialType,Stim1,Stim2,GroundTruth,UserChoice,IsCorrect
P74,S01,On-touch,C,1,2,1,same_ref,1,1,SAME,SAME,1
P74,S01,On-touch,D,1,0.4,1,diff_rc,1,0.4,DIFFERENT,SAME,0
P74,S01,On-touch,A,1,1.4,1,diff_cr,1.4,1,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,F,1,2,1,same_ref,1,1,SAME,SAME,1
P74,S01,On-touch,E,1,0.4,1,diff_cr,0.4,1,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,C,1,2,1,same_comp,2,2,SAME,SAME,1
P74,S01,On-touch,A,1,1.4,1,same_ref,1,1,SAME,DIFFERENT,0
P74,S01,On-touch,B,1,1.4,1,diff_rc,1,1.4,DIFFERENT,SAME,0
P74,S01,On-touch,E,1,2,1,diff_cr,2,1,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,A,1,0.6,1,diff_rc,1,0.6,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,B,1,2,1,diff_cr,2,1,DIFFERENT,SAME,0
P74,S01,On-touch,E,1,0.6,1,same_ref,1,1,SAME,SAME,1
P74,S01,On-touch,F,1,2,1,same_comp,2,2,SAME,SAME,1
P74,S01,On-touch,C,1,2,1,diff_cr,2,1,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,E,1,1.4,1,same_comp,1.4,1.4,SAME,SAME,1
P74,S01,On-touch,C,1,1.4,1,diff_rc,1,1.4,DIFFERENT,SAME,0
P74,S01,On-touch,C,1,0.4,1,same_comp,0.4,0.4,SAME,DIFFERENT,0
P74,S01,On-touch,F,1,1.4,1,same_ref,1,1,SAME,SAME,1
P74,S01,On-touch,D,1,0.6,1,same_ref,1,1,SAME,SAME,1
P74,S01,On-touch,F,1,0.6,1,same_comp,0.6,0.6,SAME,SAME,1
P74,S01,On-touch,E,1,2,1,same_comp,2,2,SAME,DIFFERENT,0
P74,S01,On-touch,F,1,0.6,1,same_ref,1,1,SAME,DIFFERENT,0
P74,S01,On-touch,E,1,0.4,1,same_comp,0.4,0.4,SAME,SAME,1
P74,S01,On-touch,E,1,1.4,1,diff_cr,1.4,1,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,E,1,0.6,1,same_comp,0.6,0.6,SAME,DIFFERENT,0
P74,S01,On-touch,F,1,1.4,1,diff_rc,1,1.4,DIFFERENT,SAME,0
P74,S01,On-touch,D,1,1.4,1,same_ref,1,1,SAME,DIFFERENT,0
P74,S01,On-touch,E,1,1.4,1,diff_rc,1,1.4,DIFFERENT,SAME,0
P74,S01,On-touch,C,1,0.4,1,diff_rc,1,0.4,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,A,1,2,1,same_ref,1,1,SAME,SAME,1
P74,S01,On-touch,F,1,1.4,1,diff_cr,1.4,1,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,A,1,1.4,1,diff_rc,1,1.4,DIFFERENT,SAME,0
P74,S01,On-touch,F,1,0.4,1,diff_cr,0.4,1,DIFFERENT,SAME,0
P74,S01,On-touch,D,1,1.4,1,same_comp,1.4,1.4,SAME,DIFFERENT,0
P74,S01,On-touch,E,1,2,1,same_ref,1,1,SAME,DIFFERENT,0
P74,S01,On-touch,F,1,2,1,diff_cr,2,1,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,B,1,1.4,1,same_comp,1.4,1.4,SAME,SAME,1
P74,S01,On-touch,D,1,0.4,1,same_comp,0.4,0.4,SAME,SAME,1
P74,S01,On-touch,E,1,0.4,1,same_ref,1,1,SAME,SAME,1
P74,S01,On-touch,B,1,0.6,1,same_comp,0.6,0.6,SAME,DIFFERENT,0
P74,S01,On-touch,B,1,0.6,1,same_ref,1,1,SAME,SAME,1
P74,S01,On-touch,D,1,0.6,1,diff_rc,1,0.6,DIFFERENT,SAME,0
P74,S01,On-touch,D,1,2,1,diff_rc,1,2,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,A,1,0.4,1,diff_rc,1,0.4,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,F,1,0.6,1,diff_cr,0.6,1,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,C,1,0.4,1,diff_cr,0.4,1,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,F,1,0.4,1,same_ref,1,1,SAME,SAME,1
P74,S01,On-touch,E,1,1.4,1,same_ref,1,1,SAME,SAME,1
P74,S01,On-touch,D,1,0.4,1,same_ref,1,1,SAME,SAME,1
P74,S01,On-touch,D,1,2,1,diff_cr,2,1,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,F,1,0.4,1,diff_rc,1,0.4,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,D,1,0.6,1,diff_cr,0.6,1,DIFFERENT,SAME,0
P74,S01,On-touch,D,1,1.4,1,diff_cr,1.4,1,DIFFERENT,SAME,0
P74,S01,On-touch,F,1,0.4,1,same_comp,0.4,0.4,SAME,SAME,1
P74,S01,On-touch,D,1,0.6,1,same_comp,0.6,0.6,SAME,SAME,1
P74,S01,On-touch,E,1,0.6,1,diff_cr,0.6,1,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,A,1,2,1,diff_rc,1,2,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,A,1,1.4,1,same_comp,1.4,1.4,SAME,SAME,1
P74,S01,On-touch,F,1,2,1,diff_rc,1,2,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,B,1,2,1,diff_rc,1,2,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,F,1,1.4,1,same_comp,1.4,1.4,SAME,SAME,1
P74,S01,On-touch,C,1,2,1,diff_rc,1,2,DIFFERENT,SAME,0
P74,S01,On-touch,C,1,1.4,1,same_ref,1,1,SAME,SAME,1
P74,S01,On-touch,E,1,0.6,1,diff_rc,1,0.6,DIFFERENT,SAME,0
P74,S01,On-touch,C,1,0.6,1,diff_cr,0.6,1,DIFFERENT,SAME,0
P74,S01,On-touch,E,1,2,1,diff_rc,1,2,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,F,1,0.6,1,diff_rc,1,0.6,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,B,1,0.4,1,diff_rc,1,0.4,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,D,1,0.4,1,diff_cr,0.4,1,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,E,1,0.4,1,diff_rc,1,0.4,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,A,1,2,1,same_comp,2,2,SAME,SAME,1
P74,S01,On-touch,D,1,2,1,same_ref,1,1,SAME,SAME,1
P74,S01,On-touch,D,1,1.4,1,diff_rc,1,1.4,DIFFERENT,SAME,0
P74,S01,On-touch,D,1,2,1,same_comp,2,2,SAME,SAME,1
P74,S01,On-touch,B,1,2,1,same_comp,2,2,SAME,SAME,1
P74,S01,On-touch,A,1,0.6,1,diff_cr,0.6,1,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,A,1,0.4,1,diff_cr,0.4,1,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,B,1,0.6,1,diff_rc,1,0.6,DIFFERENT,SAME,0
P74,S01,On-touch,C,1,0.6,1,same_ref,1,1,SAME,SAME,1
P74,S01,On-touch,B,1,0.4,1,diff_cr,0.4,1,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,A,1,0.4,1,same_ref,1,1,SAME,SAME,1
P74,S01,On-touch,B,1,2,1,same_ref,1,1,SAME,SAME,1
P74,S01,On-touch,B,1,0.6,1,diff_cr,0.6,1,DIFFERENT,SAME,0
P74,S01,On-touch,A,1,0.6,1,same_comp,0.6,0.6,SAME,SAME,1
P74,S01,On-touch,B,1,0.4,1,same_comp,0.4,0.4,SAME,DIFFERENT,0
P74,S01,On-touch,A,1,0.4,1,same_comp,0.4,0.4,SAME,DIFFERENT,0
P74,S01,On-touch,C,1,1.4,1,diff_cr,1.4,1,DIFFERENT,SAME,0
P74,S01,On-touch,C,1,0.4,1,same_ref,1,1,SAME,DIFFERENT,0
P74,S01,On-touch,B,1,1.4,1,same_ref,1,1,SAME,SAME,1
P74,S01,On-touch,C,1,1.4,1,same_comp,1.4,1.4,SAME,SAME,1
P74,S01,On-touch,C,1,0.6,1,same_comp,0.6,0.6,SAME,SAME,1
P74,S01,On-touch,B,1,1.4,1,diff_cr,1.4,1,DIFFERENT,SAME,0
P74,S01,On-touch,B,1,0.4,1,same_ref,1,1,SAME,DIFFERENT,0
P74,S01,On-touch,A,1,0.6,1,same_ref,1,1,SAME,DIFFERENT,0
P74,S01,On-touch,A,1,2,1,diff_cr,2,1,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,C,1,0.6,1,diff_rc,1,0.6,DIFFERENT,SAME,0
P74,S01,On-touch,F,1,2,2,diff_rc,1,2,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,D,1,0.4,2,same_ref,1,1,SAME,SAME,1
P74,S01,On-touch,C,1,0.4,2,diff_rc,1,0.4,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,B,1,0.6,2,diff_cr,0.6,1,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,C,1,0.6,2,diff_cr,0.6,1,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,A,1,0.6,2,same_comp,0.6,0.6,SAME,SAME,1
P74,S01,On-touch,F,1,0.6,2,same_ref,1,1,SAME,SAME,1
P74,S01,On-touch,B,1,0.4,2,same_ref,1,1,SAME,SAME,1
P74,S01,On-touch,C,1,0.6,2,same_ref,1,1,SAME,SAME,1
P74,S01,On-touch,D,1,0.6,2,same_comp,0.6,0.6,SAME,DIFFERENT,0
P74,S01,On-touch,F,1,0.4,2,diff_cr,0.4,1,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,E,1,0.6,2,diff_rc,1,0.6,DIFFERENT,SAME,0
P74,S01,On-touch,B,1,1.4,2,same_ref,1,1,SAME,SAME,1
P74,S01,On-touch,A,1,0.4,2,diff_rc,1,0.4,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,A,1,2,2,diff_rc,1,2,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,D,1,2,2,same_ref,1,1,SAME,DIFFERENT,0
P74,S01,On-touch,E,1,1.4,2,same_comp,1.4,1.4,SAME,SAME,1
P74,S01,On-touch,D,1,1.4,2,same_comp,1.4,1.4,SAME,SAME,1
P74,S01,On-touch,A,1,0.4,2,diff_cr,0.4,1,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,F,1,1.4,2,diff_rc,1,1.4,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,F,1,1.4,2,same_ref,1,1,SAME,SAME,1
P74,S01,On-touch,A,1,1.4,2,same_ref,1,1,SAME,SAME,1
P74,S01,On-touch,A,1,0.6,2,diff_cr,0.6,1,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,C,1,1.4,2,diff_rc,1,1.4,DIFFERENT,SAME,0
P74,S01,On-touch,E,1,0.4,2,same_ref,1,1,SAME,SAME,1
P74,S01,On-touch,A,1,0.4,2,same_comp,0.4,0.4,SAME,SAME,1
P74,S01,On-touch,E,1,2,2,same_ref,1,1,SAME,SAME,1
P74,S01,On-touch,F,1,0.6,2,diff_rc,1,0.6,DIFFERENT,SAME,0
P74,S01,On-touch,F,1,0.6,2,diff_cr,0.6,1,DIFFERENT,SAME,0
P74,S01,On-touch,E,1,0.6,2,same_ref,1,1,SAME,SAME,1
P74,S01,On-touch,E,1,0.6,2,same_comp,0.6,0.6,SAME,SAME,1
P74,S01,On-touch,B,1,0.4,2,diff_rc,1,0.4,DIFFERENT,DIFFERENT,1
P74,S01,On-touch,F,1,0.6,2,same_comp,0.6,0.6,SAME,DIFFERENT,0
