Subject,Session,Condition,Region,Reference,Comparison,Rep,TrialType,Stim1,Stim2,GroundTruth,UserChoice,IsCorrect
P83,S01,On-touch,A,26,60,1,diff_rc,26,60,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,D,26,10,1,diff_rc,26,10,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,E,26,10,1,same_ref,26,26,SAME,SAME,1
P83,S01,On-touch,E,26,15,1,same_ref,26,26,SAME,DIFFERENT,0
P83,S01,On-touch,F,26,10,1,diff_cr,10,26,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,B,26,15,1,diff_cr,15,26,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,F,26,60,1,diff_rc,26,60,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,D,26,60,1,same_ref,26,26,SAME,SAME,1
P83,S01,On-touch,A,26,10,1,diff_cr,10,26,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,D,26,15,1,same_ref,26,26,SAME,DIFFERENT,0
P83,S01,On-touch,C,26,10,1,diff_cr,10,26,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,C,26,15,1,same_ref,26,26,SAME,DIFFERENT,0
P83,S01,On-touch,E,26,60,1,same_ref,26,26,SAME,SAME,1
P83,S01,On-touch,D,26,10,1,diff_cr,10,26,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,E,26,10,1,diff_rc,26,10,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,D,26,60,1,diff_cr,60,26,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,E,26,10,1,diff_cr,10,26,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,B,26,10,1,diff_rc,26,10,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,A,26,10,1,same_ref,26,26,SAME,SAME,1
P83,S01,On-touch,C,26,10,1,same_ref,26,26,SAME,DIFFERENT,0
P83,S01,On-touch,B,26,60,1,diff_cr,60,26,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,C,26,60,1,diff_rc,26,60,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,F,26,10,1,diff_rc,26,10,DIFFERENT,SAME,0
P83,S01,On-touch,B,26,15,1,same_ref,26,26,SAME,SAME,1
P83,S01,On-touch,A,26,15,1,diff_rc,26,15,DIFFERENT,SAME,0
P83,S01,On-touch,B,26,10,1,same_ref,26,26,SAME,SAME,1
P83,S01,On-touch,A,26,10,1,diff_rc,26,10,DIFFERENT,SAME,0
P83,S01,On-touch,B,26,60,1,diff_rc,26,60,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,C,26,15,1,diff_rc,26,15,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,F,26,60,1,diff_cr,60,26,DIFFERENT,SAME,0
P83,S01,On-touch,C,26,10,1,diff_rc,26,10,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,B,26,10,1,diff_cr,10,26,DIFFERENT,SAME,0
P83,S01,On-touch,C,26,15,1,diff_cr,15,26,DIFFERENT,SAME,0
P83,S01,On-touch,F,26,15,1,diff_rc,26,15,DIFFERENT,SAME,0
P83,S01,On-touch,B,26,15,1,diff_rc,26,15,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,F,26,10,1,same_ref,26,26,SAME,SAME,1
P83,S01,On-touch,E,26,60,1,diff_cr,60,26,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,E,26,15,1,diff_cr,15,26,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,C,26,60,1,diff_cr,60,26,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,E,26,60,1,diff_rc,26,60,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,F,26,60,1,same_ref,26,26,SAME,SAME,1
P83,S01,On-touch,D,26,15,1,diff_cr,15,26,DIFFERENT,SAME,0
P83,S01,On-touch,A,26,15,1,same_ref,26,26,SAME,DIFFERENT,0
P83,S01,On-touch,A,26,15,1,diff_cr,15,26,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,A,26,60,1,diff_cr,60,26,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,D,26,60,1,diff_rc,26,60,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,F,26,15,1,diff_cr,15,26,DIFFERENT,SAME,0
P83,S01,On-touch,B,26,60,1,same_ref,26,26,SAME,SAME,1
P83,S01,On-touch,A,26,60,1,same_ref,26,26,SAME,SAME,1
P83,S01,On-touch,C,26,60,1,same_ref,26,26,SAME,SAME,1
P83,S01,On-touch,E,26,15,1,diff_rc,26,15,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,D,26,10,1,same_ref,26,26,SAME,DIFFERENT,0
P83,S01,On-touch,D,26,15,1,diff_rc,26,15,DIFFERENT,SAME,0
P83,S01,On-touch,F,26,15,1,same_ref,26,26,SAME,SAME,1
P83,S01,On-touch,A,26,10,2,diff_cr,10,26,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,E,26,15,2,diff_cr,15,26,DIFFERENT,SAME,0
P83,S01,On-touch,C,26,15,2,diff_rc,26,15,DIFFERENT,SAME,0
P83,S01,On-touch,E,26,60,2,diff_rc,26,60,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,F,26,60,2,same_comp,60,60,SAME,SAME,1
P83,S01,On-touch,C,26,60,2,diff_cr,60,26,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,A,26,60,2,same_comp,60,60,SAME,SAME,1
P83,S01,On-touch,D,26,60,2,diff_cr,60,26,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,F,26,15,2,diff_rc,26,15,DIFFERENT,SAME,0
P83,S01,On-touch,B,26,60,2,same_comp,60,60,SAME,SAME,1
P83,S01,On-touch,B,26,10,2,same_comp,10,10,SAME,SAME,1
P83,S01,On-touch,C,26,60,2,same_comp,60,60,SAME,DIFFERENT,0
P83,S01,On-touch,E,26,60,2,same_comp,60,60,SAME,SAME,1
P83,S01,On-touch,D,26,60,2,diff_rc,26,60,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,E,26,15,2,diff_rc,26,15,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,C,26,60,2,diff_rc,26,60,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,F,26,10,2,same_comp,10,10,SAME,SAME,1
P83,S01,On-touch,B,26,10,2,diff_cr,10,26,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,A,26,10,2,diff_rc,26,10,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,B,26,60,2,diff_cr,60,26,DIFFERENT,SAME,0
P83,S01,On-touch,F,26,15,2,same_comp,15,15,SAME,SAME,1
P83,S01,On-touch,E,26,60,2,diff_cr,60,26,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,E,26,10,2,diff_rc,26,10,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,A,26,10,2,same_comp,10,10,SAME,SAME,1
P83,S01,On-touch,C,26,15,2,same_comp,15,15,SAME,SAME,1
P83,S01,On-touch,D,26,10,2,diff_cr,10,26,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,C,26,10,2,diff_cr,10,26,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,C,26,15,2,diff_cr,15,26,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,B,26,15,2,diff_rc,26,15,DIFFERENT,SAME,0
P83,S01,On-touch,C,26,10,2,diff_rc,26,10,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,D,26,15,2,same_comp,15,15,SAME,SAME,1
P83,S01,On-touch,B,26,15,2,same_comp,15,15,SAME,SAME,1
P83,S01,On-touch,B,26,10,2,diff_rc,26,10,DIFFERENT,SAME,0
P83,S01,On-touch,E,26,10,2,same_comp,10,10,SAME,DIFFERENT,0
P83,S01,On-touch,A,26,15,2,diff_rc,26,15,DIFFERENT,SAME,0
P83,S01,On-touch,E,26,15,2,same_comp,15,15,SAME,SAME,1
P83,S01,On-touch,D,26,10,2,same_comp,10,10,SAME,SAME,1
P83,S01,On-touch,F,26,10,2,diff_cr,10,26,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,C,26,10,2,same_comp,10,10,SAME,DIFFERENT,0
P83,S01,On-touch,A,26,60,2,diff_rc,26,60,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,D,26,15,2,diff_cr,15,26,DIFFERENT,SAME,0
P83,S01,On-touch,F,26,10,2,diff_rc,26,10,DIFFERENT,SAME,0
P83,S01,On-touch,A,26,15,2,same_comp,15,15,SAME,SAME,1
P83,S01,On-touch,A,26,15,2,diff_cr,15,26,DIFFERENT,SAME,0
P83,S01,On-touch,A,26,60,2,diff_cr,60,26,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,F,26,15,2,diff_cr,15,26,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,F,26,60,2,diff_cr,60,26,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,B,26,15,2,diff_cr,15,26,DIFFERENT,SAME,0
P83,S01,On-touch,E,26,10,2,diff_cr,10,26,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,D,26,10,2,diff_rc,26,10,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,B,26,60,2,diff_rc,26,60,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,D,26,15,2,diff_rc,26,15,DIFFERENT,DIFFERENT,1
P83,S01,On-touch,D,26,60,2,same_comp,60,60,SAME,SAME,1
P83,S01,On-touch,F,26,60,2,diff_rc,26,60,DIFFERENT,DIFFERENT,1
