Subject,Metric,Value
P21,Correct Pairs,38
P21,Incorrect Pairs,46
P21,1 in all pairs,46
P21,2 in all pairs,38
P21,1 in incorrect pairs,22
P21,2 in incorrect pairs,24
P22,Correct Pairs,43
P22,Incorrect Pairs,41
P22,1 in all pairs,37
P22,2 in all pairs,47
P22,1 in incorrect pairs,19
P22,2 in incorrect pairs,22
P23,Correct Pairs,41
P23,Incorrect Pairs,43
P23,1 in all pairs,48
P23,2 in all pairs,36
P23,1 in incorrect pairs,26
P23,2 in incorrect pairs,17
P24,Correct Pairs,36
P24,Incorrect Pairs,48
P24,1 in all pairs,35
P24,2 in all pairs,49
P24,1 in incorrect pairs,16
P24,2 in incorrect pairs,32
P25,Correct Pairs,33
P25,Incorrect Pairs,51
P25,1 in all pairs,39
P25,2 in all pairs,45
P25,1 in incorrect pairs,20
P25,2 in incorrect pairs,31
P26,Correct Pairs,42
P26,Incorrect Pairs,42
P26,1 in all pairs,45
P26,2 in all pairs,39
P26,1 in incorrect pairs,21
P26,2 in incorrect pairs,21
P27,Correct Pairs,46
P27,Incorrect Pairs,38
P27,1 in all pairs,43
P27,2 in all pairs,41
P27,1 in incorrect pairs,11
P27,2 in incorrect pairs,27
P28,Correct Pairs,47
P28,Incorrect Pairs,37
P28,1 in all pairs,45
P28,2 in all pairs,39
P28,1 in incorrect pairs,18
P28,2 in incorrect pairs,19
P30,Correct Pairs,48
P30,Incorrect Pairs,36
P30,1 in all pairs,40
P30,2 in all pairs,44
P30,1 in incorrect pairs,19
P30,2 in incorrect pairs,17
P32,Correct Pairs,39
P32,Incorrect Pairs,45
P32,1 in all pairs,42
P32,2 in all pairs,42
P32,1 in incorrect pairs,21
P32,2 in incorrect pairs,24
P42,Correct Pairs,42
P42,Incorrect Pairs,42
P42,1 in all pairs,44
P42,2 in all pairs,40
P42,1 in incorrect pairs,23
P42,2 in incorrect pairs,19
P44,Correct Pairs,56
P44,Incorrect Pairs,28
P44,1 in all pairs,43
P44,2 in all pairs,41
P44,1 in incorrect pairs,12
P44,2 in incorrect pairs,16
P45,Correct Pairs,51
P45,Incorrect Pairs,33
P45,1 in all pairs,39
P45,2 in all pairs,45
P45,1 in incorrect pairs,16
P45,2 in incorrect pairs,17
P46,Correct Pairs,42
P46,Incorrect Pairs,42
P46,1 in all pairs,58
P46,2 in all pairs,26
P46,1 in incorrect pairs,29
P46,2 in incorrect pairs,13
P47,Correct Pairs,45
P47,Incorrect Pairs,39
P47,1 in all pairs,45
P47,2 in all pairs,39
P47,1 in incorrect pairs,21
P47,2 in incorrect pairs,18
P48,Correct Pairs,50
P48,Incorrect Pairs,34
P48,1 in all pairs,44
P48,2 in all pairs,40
P48,1 in incorrect pairs,18
P48,2 in incorrect pairs,16
P49,Correct Pairs,49
P49,Incorrect Pairs,35
P49,1 in all pairs,47
P49,2 in all pairs,37
P49,1 in incorrect pairs,21
P49,2 in incorrect pairs,14
P50,Correct Pairs,51
P50,Incorrect Pairs,33
P50,1 in all pairs,56
P50,2 in all pairs,28
P50,1 in incorrect pairs,23
P50,2 in incorrect pairs,10
P51,Correct Pairs,53
P51,Incorrect Pairs,31
P51,1 in all pairs,39
P51,2 in all pairs,45
P51,1 in incorrect pairs,11
P51,2 in incorrect pairs,20
P52,Correct Pairs,53
P52,Incorrect Pairs,31
P52,1 in all pairs,46
P52,2 in all pairs,38
P52,1 in incorrect pairs,17
P52,2 in incorrect pairs,14
P53,Correct Pairs,45
P53,Incorrect Pairs,39
P53,1 in all pairs,43
P53,2 in all pairs,41
P53,1 in incorrect pairs,19
P53,2 in incorrect pairs,20
P54,Correct Pairs,56
P54,Incorrect Pairs,28
P54,1 in all pairs,43
P54,2 in all pairs,41
P54,1 in incorrect pairs,14
P54,2 in incorrect pairs,14
P55,Correct Pairs,51
P55,Incorrect Pairs,33
P55,1 in all pairs,38
P55,2 in all pairs,46
P55,1 in incorrect pairs,16
P55,2 in incorrect pairs,17
P56,Correct Pairs,46
P56,Incorrect Pairs,38
P56,1 in all pairs,37
P56,2 in all pairs,47
P56,1 in incorrect pairs,16
P56,2 in incorrect pairs,22
P59,Correct Pairs,49
P59,Incorrect Pairs,35
P59,1 in all pairs,43
P59,2 in all pairs,41
P59,1 in incorrect pairs,20
P59,2 in incorrect pairs,15
