SubjectID,Trial,Condition,Area,Force,Target,Response,IsCorrect
S02,1,In-air,D,0.07g,7,5,0
S02,2,In-air,D,2.0g,6,6,1
S02,3,In-air,A,0.07g,7,8,0
S02,4,In-air,C,0.6g,5,4,0
S02,5,In-air,A,0.16g,7,5,0
S02,6,In-air,B,2.0g,5,5,1
S02,7,In-air,B,0.07g,7,8,0
S02,8,In-air,A,0.6g,8,7,0
S02,9,In-air,D,0.16g,6,5,0
S02,10,In-air,C,1.4g,8,8,1
S02,11,In-air,C,0.07g,5,6,0
S02,12,In-air,B,0.16g,7,6,0
S02,13,In-air,B,1.4g,7,7,1
S02,14,In-air,A,2.0g,7,7,1
S02,15,In-air,D,0.6g,6,4,0
S02,16,In-air,A,1.4g,6,6,1
S02,17,Active,D,2.0g,8,8,1
S02,18,Active,B,1.4g,5,5,1
S02,19,Active,A,0.16g,6,6,1
S02,20,Active,A,0.6g,6,6,1
S02,21,Active,C,2.0g,6,6,1
S02,22,Active,B,2.0g,5,5,1
S02,23,Active,C,1.4g,5,5,1
S02,24,Active,C,0.16g,8,7,0
S02,25,Active,D,0.07g,5,4,0
S02,26,Active,A,1.4g,6,6,1
S02,27,Active,D,0.16g,5,5,1
S02,28,Active,A,0.07g,6,4,0
S02,29,Active,D,1.4g,7,7,1
S02,30,Active,B,0.6g,8,7,0
S02,31,Active,B,0.07g,5,4,0
S02,32,Active,C,0.07g,7,7,1
