Rep,Region,Ref,Comp,TrialType,Stim1,Stim2,GroundTruth
1,A,1.0,0.4,same_ref,1.0,1.0,SAME
1,A,1.0,0.4,diff_rc,1.0,0.4,DIFFERENT
1,A,1.0,0.4,diff_cr,0.4,1.0,DIFFERENT
1,A,1.0,0.6,same_ref,1.0,1.0,SAME
1,A,1.0,0.6,diff_rc,1.0,0.6,DIFFERENT
1,A,1.0,0.6,diff_cr,0.6,1.0,DIFFERENT
1,A,1.0,1.4,same_ref,1.0,1.0,SAME
1,A,1.0,1.4,diff_rc,1.0,1.4,DIFFERENT
1,A,1.0,1.4,diff_cr,1.4,1.0,DIFFERENT
1,A,1.0,2.0,same_ref,1.0,1.0,SAME
1,A,1.0,2.0,diff_rc,1.0,2.0,DIFFERENT
1,A,1.0,2.0,diff_cr,2.0,1.0,DIFFERENT
1,B,1.0,0.4,same_ref,1.0,1.0,SAME
1,B,1.0,0.4,diff_rc,1.0,0.4,DIFFERENT
1,B,1.0,0.4,diff_cr,0.4,1.0,DIFFERENT
1,B,1.0,0.6,same_ref,1.0,1.0,SAME
1,B,1.0,0.6,diff_rc,1.0,0.6,DIFFERENT
1,B,1.0,0.6,diff_cr,0.6,1.0,DIFFERENT
1,B,1.0,1.4,same_ref,1.0,1.0,SAME
1,B,1.0,1.4,diff_rc,1.0,1.4,DIFFERENT
1,B,1.0,1.4,diff_cr,1.4,1.0,DIFFERENT
1,B,1.0,2.0,same_ref,1.0,1.0,SAME
1,B,1.0,2.0,diff_rc,1.0,2.0,DIFFERENT
1,B,1.0,2.0,diff_cr,2.0,1.0,DIFFERENT
1,C,1.0,0.4,same_ref,1.0,1.0,SAME
1,C,1.0,0.4,diff_rc,1.0,0.4,DIFFERENT
1,C,1.0,0.4,diff_cr,0.4,1.0,DIFFERENT
1,C,1.0,0.6,same_ref,1.0,1.0,SAME
1,C,1.0,0.6,diff_rc,1.0,0.6,DIFFERENT
1,C,1.0,0.6,diff_cr,0.6,1.0,DIFFERENT
1,C,1.0,1.4,same_ref,1.0,1.0,SAME
1,C,1.0,1.4,diff_rc,1.0,1.4,DIFFERENT
1,C,1.0,1.4,diff_cr,1.4,1.0,DIFFERENT
1,C,1.0,2.0,same_ref,1.0,1.0,SAME
1,C,1.0,2.0,diff_rc,1.0,2.0,DIFFERENT
1,C,1.0,2.0,diff_cr,2.0,1.0,DIFFERENT
1,D,1.0,0.4,same_ref,1.0,1.0,SAME
1,D,1.0,0.4,diff_rc,1.0,0.4,DIFFERENT
1,D,1.0,0.4,diff_cr,0.4,1.0,DIFFERENT
1,D,1.0,0.6,same_ref,1.0,1.0,SAME
1,D,1.0,0.6,diff_rc,1.0,0.6,DIFFERENT
1,D,1.0,0.6,diff_cr,0.6,1.0,DIFFERENT
1,D,1.0,1.4,same_ref,1.0,1.0,SAME
1,D,1.0,1.4,diff_rc,1.0,1.4,DIFFERENT
1,D,1.0,1.4,diff_cr,1.4,1.0,DIFFERENT
1,D,1.0,2.0,same_ref,1.0,1.0,SAME
1,D,1.0,2.0,diff_rc,1.0,2.0,DIFFERENT
1,D,1.0,2.0,diff_cr,2.0,1.0,DIFFERENT
1,E,1.0,0.4,same_ref,1.0,1.0,SAME
1,E,1.0,0.4,diff_rc,1.0,0.4,DIFFERENT
1,E,1.0,0.4,diff_cr,0.4,1.0,DIFFERENT
1,E,1.0,0.6,same_ref,1.0,1.0,SAME
1,E,1.0,0.6,diff_rc,1.0,0.6,DIFFERENT
1,E,1.0,0.6,diff_cr,0.6,1.0,DIFFERENT
1,E,1.0,1.4,same_ref,1.0,1.0,SAME
1,E,1.0,1.4,diff_rc,1.0,1.4,DIFFERENT
1,E,1.0,1.4,diff_cr,1.4,1.0,DIFFERENT
1,E,1.0,2.0,same_ref,1.0,1.0,SAME
1,E,1.0,2.0,diff_rc,1.0,2.0,DIFFERENT
1,E,1.0,2.0,diff_cr,2.0,1.0,DIFFERENT
1,F,1.0,0.4,same_ref,1.0,1.0,SAME
1,F,1.0,0.4,diff_rc,1.0,0.4,DIFFERENT
1,F,1.0,0.4,diff_cr,0.4,1.0,DIFFERENT
1,F,1.0,0.6,same_ref,1.0,1.0,SAME
1,F,1.0,0.6,diff_rc,1.0,0.6,DIFFERENT
1,F,1.0,0.6,diff_cr,0.6,1.0,DIFFERENT
1,F,1.0,1.4,same_ref,1.0,1.0,SAME
1,F,1.0,1.4,diff_rc,1.0,1.4,DIFFERENT
1,F,1.0,1.4,diff_cr,1.4,1.0,DIFFERENT
1,F,1.0,2.0,same_ref,1.0,1.0,SAME
1,F,1.0,2.0,diff_rc,1.0,2.0,DIFFERENT
1,F,1.0,2.0,diff_cr,2.0,1.0,DIFFERENT
2,A,1.0,0.4,same_comp,0.4,0.4,SAME
2,A,1.0,0.4,diff_rc,1.0,0.4,DIFFERENT
2,A,1.0,0.4,diff_cr,0.4,1.0,DIFFERENT
2,A,1.0,0.6,same_comp,0.6,0.6,SAME
2,A,1.0,0.6,diff_rc,1.0,0.6,DIFFERENT
2,A,1.0,0.6,diff_cr,0.6,1.0,DIFFERENT
2,A,1.0,1.4,same_comp,1.4,1.4,SAME
2,A,1.0,1.4,diff_rc,1.0,1.4,DIFFERENT
2,A,1.0,1.4,diff_cr,1.4,1.0,DIFFERENT
2,A,1.0,2.0,same_comp,2.0,2.0,SAME
2,A,1.0,2.0,diff_rc,1.0,2.0,DIFFERENT
2,A,1.0,2.0,diff_cr,2.0,1.0,DIFFERENT
2,B,1.0,0.4,same_comp,0.4,0.4,SAME
2,B,1.0,0.4,diff_rc,1.0,0.4,DIFFERENT
2,B,1.0,0.4,diff_cr,0.4,1.0,DIFFERENT
2,B,1.0,0.6,same_comp,0.6,0.6,SAME
2,B,1.0,0.6,diff_rc,1.0,0.6,DIFFERENT
2,B,1.0,0.6,diff_cr,0.6,1.0,DIFFERENT
2,B,1.0,1.4,same_comp,1.4,1.4,SAME
2,B,1.0,1.4,diff_rc,1.0,1.4,DIFFERENT
2,B,1.0,1.4,diff_cr,1.4,1.0,DIFFERENT
2,B,1.0,2.0,same_comp,2.0,2.0,SAME
2,B,1.0,2.0,diff_rc,1.0,2.0,DIFFERENT
2,B,1.0,2.0,diff_cr,2.0,1.0,DIFFERENT
2,C,1.0,0.4,same_comp,0.4,0.4,SAME
2,C,1.0,0.4,diff_rc,1.0,0.4,DIFFERENT
2,C,1.0,0.4,diff_cr,0.4,1.0,DIFFERENT
2,C,1.0,0.6,same_comp,0.6,0.6,SAME
2,C,1.0,0.6,diff_rc,1.0,0.6,DIFFERENT
2,C,1.0,0.6,diff_cr,0.6,1.0,DIFFERENT
2,C,1.0,1.4,same_comp,1.4,1.4,SAME
2,C,1.0,1.4,diff_rc,1.0,1.4,DIFFERENT
2,C,1.0,1.4,diff_cr,1.4,1.0,DIFFERENT
2,C,1.0,2.0,same_comp,2.0,2.0,SAME
2,C,1.0,2.0,diff_rc,1.0,2.0,DIFFERENT
2,C,1.0,2.0,diff_cr,2.0,1.0,DIFFERENT
2,D,1.0,0.4,same_comp,0.4,0.4,SAME
2,D,1.0,0.4,diff_rc,1.0,0.4,DIFFERENT
2,D,1.0,0.4,diff_cr,0.4,1.0,DIFFERENT
2,D,1.0,0.6,same_comp,0.6,0.6,SAME
2,D,1.0,0.6,diff_rc,1.0,0.6,DIFFERENT
2,D,1.0,0.6,diff_cr,0.6,1.0,DIFFERENT
2,D,1.0,1.4,same_comp,1.4,1.4,SAME
2,D,1.0,1.4,diff_rc,1.0,1.4,DIFFERENT
2,D,1.0,1.4,diff_cr,1.4,1.0,DIFFERENT
2,D,1.0,2.0,same_comp,2.0,2.0,SAME
2,D,1.0,2.0,diff_rc,1.0,2.0,DIFFERENT
2,D,1.0,2.0,diff_cr,2.0,1.0,DIFFERENT
2,E,1.0,0.4,same_comp,0.4,0.4,SAME
2,E,1.0,0.4,diff_rc,1.0,0.4,DIFFERENT
2,E,1.0,0.4,diff_cr,0.4,1.0,DIFFERENT
2,E,1.0,0.6,same_comp,0.6,0.6,SAME
2,E,1.0,0.6,diff_rc,1.0,0.6,DIFFERENT
2,E,1.0,0.6,diff_cr,0.6,1.0,DIFFERENT
2,E,1.0,1.4,same_comp,1.4,1.4,SAME
2,E,1.0,1.4,diff_rc,1.0,1.4,DIFFERENT
2,E,1.0,1.4,diff_cr,1.4,1.0,DIFFERENT
2,E,1.0,2.0,same_comp,2.0,2.0,SAME
2,E,1.0,2.0,diff_rc,1.0,2.0,DIFFERENT
2,E,1.0,2.0,diff_cr,2.0,1.0,DIFFERENT
2,F,1.0,0.4,same_comp,0.4,0.4,SAME
2,F,1.0,0.4,diff_rc,1.0,0.4,DIFFERENT
2,F,1.0,0.4,diff_cr,0.4,1.0,DIFFERENT
2,F,1.0,0.6,same_comp,0.6,0.6,SAME
2,F,1.0,0.6,diff_rc,1.0,0.6,DIFFERENT
2,F,1.0,0.6,diff_cr,0.6,1.0,DIFFERENT
2,F,1.0,1.4,same_comp,1.4,1.4,SAME
2,F,1.0,1.4,diff_rc,1.0,1.4,DIFFERENT
2,F,1.0,1.4,diff_cr,1.4,1.0,DIFFERENT
2,F,1.0,2.0,same_comp,2.0,2.0,SAME
2,F,1.0,2.0,diff_rc,1.0,2.0,DIFFERENT
2,F,1.0,2.0,diff_cr,2.0,1.0,DIFFERENT
