Subject,Reference,weber_fraction,slope,n_levels
P21,1.0,1.0204834794980202,30.80547635018588,4
P21,26.0,1.2597563276219461,4.316806937054414,3
P22,1.0,0.9918656923588125,11.436138353428301,4
P22,26.0,0.6068703435687279,96.42393525104033,3
P23,1.0,1.6847305011968672,7.523351097770536,4
P23,26.0,0.6065597602946077,92.9952199987529,3
P24,1.0,2.77310566618414,31.90563036342081,4
P24,26.0,1.8384474630667362,20.29094717535346,3
P25,1.0,2.273489734046704,17.642001834305976,4
P25,26.0,2.186057829157017,11.803697812838784,3
P26,1.0,1.1945596611744613,7.759651369205375,4
P26,26.0,1.1313462982926055,5.153410999096667,3
P27,1.0,1.0849902517881473,6.556907509937446,4
P27,26.0,0.5328109838855225,76.87024083514459,3
P28,1.0,1.0692801361212567,4.862683647185465,4
P28,26.0,0.5371114161843136,77.6523918111928,3
P30,1.0,0.6072751453336281,86.76453431462664,4
P30,26.0,0.5964624786124719,99.55920832351478,3
P32,1.0,1.2063104622997798,6.859435807827038,4
P32,26.0,0.6065400471182634,92.82115234593734,3
P42,1.0,1.079196772699675,6.3911393413470385,4
P42,26.0,1.4556193543288278,3.3437747055189,3
P44,1.0,0.5913122100499658,94.46976241937243,4
P44,26.0,,,3
P45,1.0,0.9800139432516709,7.859248604270476,4
P45,26.0,,,3
P46,1.0,1.2443305662634798,5.345914285463796,4
P46,26.0,1.279489589518693,4.583808325202893,3
P47,1.0,0.886520627438629,9.331115058372266,4
P47,26.0,1.1588950907322848,1.7179457926930366,3
P48,1.0,0.5910543671701518,91.77204937312308,4
P48,26.0,0.5957575507043137,95.9830348164587,3
P49,1.0,0.5991237717080427,95.12384294882489,4
P49,26.0,0.5964624786124719,99.55920832351478,3
P50,1.0,0.8655518164630364,7.5957696593146675,4
P50,26.0,0.6068721667134823,96.44207685617009,3
P51,1.0,0.963392268844467,5.729455672392239,4
P51,26.0,0.8368260392374437,2.1107559611969666,3
P52,1.0,0.5991064481021331,93.3118285615251,4
P52,26.0,0.6145323185000663,97.82176459673387,3
P53,1.0,1.3570814665263355,3.815891309792353,4
P53,26.0,1.279489589518693,4.583808325202893,3
P54,1.0,0.5798198487424842,93.34884700695152,4
P54,26.0,0.596238887196387,98.39648055676265,3
P55,1.0,0.9180614989234216,10.449446486049938,4
P55,26.0,0.6000978462816721,53.70434065376319,3
P56,1.0,1.0825416330183926,5.787710767359394,4
P56,26.0,0.5959494821904731,96.93094234917501,3
P59,1.0,0.5807823021757929,98.02572530617704,4
P59,26.0,0.6145510250787639,99.99999954235713,3
