SubjectID,Trial,Condition,Area,Force,Target,Response,IsCorrect
S01,1,In-air,C,2.0g,8,8,1
S01,2,In-air,B,0.6g,8,6,0
S01,3,In-air,A,0.07g,8,9,0
S01,4,In-air,A,0.16g,7,8,0
S01,5,In-air,A,0.6g,5,5,1
S01,6,In-air,D,0.16g,8,7,0
S01,7,In-air,A,2.0g,6,6,1
S01,8,In-air,D,0.6g,8,7,0
S01,9,In-air,C,0.16g,8,7,0
S01,10,In-air,B,0.07g,7,5,0
S01,11,In-air,D,0.07g,6,5,0
S01,12,In-air,C,0.6g,5,5,1
S01,13,In-air,B,2.0g,8,8,1
S01,14,In-air,D,2.0g,7,7,1
S01,15,In-air,C,1.4g,7,7,1
S01,16,In-air,D,1.4g,5,4,0
S01,17,Active,C,1.4g,5,5,1
S01,18,Active,D,2.0g,8,8,1
S01,19,Active,B,0.6g,7,5,0
S01,20,Active,A,0.6g,5,6,0
S01,21,Active,D,0.16g,8,7,0
S01,22,Active,B,2.0g,5,5,1
S01,23,Active,B,0.07g,8,6,0
S01,24,Active,A,0.16g,5,3,0
S01,25,Active,D,0.6g,7,7,1
S01,26,Active,C,2.0g,6,6,1
S01,27,Active,C,0.6g,5,5,1
S01,28,Active,A,2.0g,5,5,1
S01,29,Active,A,1.4g,6,6,1
S01,30,Active,A,0.07g,6,6,1
S01,31,Active,B,1.4g,5,5,1
S01,32,Active,D,0.07g,5,3,0
