SubjectID,Session,Condition,Area,Force,Target,Response,IsCorrect
P05,1,In-air,B,0.6g,5,10,0
P05,1,In-air,D,1.4g,5,5,1
P05,1,In-air,C,0.07g,7,0,0
P05,1,In-air,D,0.07g,7,1,0
P05,1,In-air,B,0.16g,5,0,0
P05,1,In-air,B,1.4g,7,8,0
P05,1,In-air,C,2.0g,6,6,1
P05,1,In-air,B,0.07g,5,0,0
P05,1,In-air,B,2.0g,5,6,0
P05,1,In-air,D,2.0g,5,5,1
P05,1,In-air,C,0.16g,5,0,0
P05,1,In-air,C,1.4g,7,8,0
P05,1,In-air,C,0.6g,7,7,1
P05,1,In-air,D,0.6g,5,5,1
P05,1,In-air,D,0.16g,7,1,0
P05,1,On-touch,B,1.4g,7,7,1
P05,1,On-touch,B,0.16g,7,1,0
P05,1,On-touch,B,0.6g,8,8,1
P05,1,On-touch,C,2.0g,8,8,1
P05,1,On-touch,D,0.16g,8,0,0
P05,1,On-touch,C,0.16g,7,1,0
P05,1,On-touch,D,1.4g,5,5,1
P05,1,On-touch,B,2.0g,8,8,1
P05,1,On-touch,D,0.07g,7,0,0
P05,1,On-touch,B,0.07g,8,0,0
P05,1,On-touch,D,2.0g,7,7,1
P05,1,On-touch,C,1.4g,5,5,1
P05,1,On-touch,D,0.6g,7,7,1
P05,1,On-touch,C,0.07g,5,0,0
P05,1,On-touch,C,0.6g,7,7,1
