Subject,Session,Condition,Trial,TargetArea,TargetForce,UserChoice,IsCorrect
S02,1,On-touch (Soft),1,B,0.6g,B,true
S02,1,On-touch (Soft),2,B,0.6g,B,true
S02,1,On-touch (Soft),3,C,0.6g,C,true
S02,1,On-touch (Soft),4,C,0.6g,B,false
S02,1,On-touch (Soft),5,B,1.4g,B,true
S02,1,On-touch (Soft),6,A,0.6g,A,true
S02,1,On-touch (Soft),7,C,1.4g,C,true
S02,1,On-touch (Soft),8,B,0.6g,B,true
S02,1,On-touch (Soft),9,C,0.6g,C,true
S02,1,On-touch (Soft),10,B,1.4g,B,true
S02,1,On-touch (Soft),11,A,0.6g,A,true
S02,1,On-touch (Soft),12,C,1.4g,C,true
S02,1,On-touch (Soft),13,A,0.6g,A,true
S02,1,On-touch (Soft),14,A,1.4g,A,true
S02,1,On-touch (Soft),15,A,1.4g,A,true
S02,1,On-touch (Soft),16,A,1.4g,A,true
S02,1,On-touch (Soft),17,B,1.4g,B,true
S02,1,On-touch (Soft),18,C,1.4g,C,true
S02,1,On-touch (Hard),1,A,1.4g,A,true
S02,1,On-touch (Hard),2,A,0.6g,A,true
S02,1,On-touch (Hard),3,A,1.4g,A,true
S02,1,On-touch (Hard),4,A,0.6g,A,true
S02,1,On-touch (Hard),5,A,1.4g,B,false
S02,1,On-touch (Hard),6,B,1.4g,B,true
S02,1,On-touch (Hard),7,C,0.6g,C,true
S02,1,On-touch (Hard),8,C,1.4g,C,true
S02,1,On-touch (Hard),9,B,0.6g,B,true
S02,1,On-touch (Hard),10,A,0.6g,A,true
S02,1,On-touch (Hard),11,B,0.6g,B,true
S02,1,On-touch (Hard),12,C,0.6g,C,true
S02,1,On-touch (Hard),13,C,1.4g,C,true
S02,1,On-touch (Hard),14,B,1.4g,B,true
S02,1,On-touch (Hard),15,B,0.6g,B,true
S02,1,On-touch (Hard),16,B,1.4g,B,true
S02,1,On-touch (Hard),17,C,1.4g,C,true
S02,1,On-touch (Hard),18,C,0.6g,C,true
