SubjectID,Trial,Condition,Area,Force,Target,Response,IsCorrect
0303_P01,1,In-air,C,1.4g,8,7,0
0303_P01,2,In-air,A,0.16g,5,3,0
0303_P01,3,In-air,C,0.07g,6,0,0
0303_P01,4,In-air,A,1.4g,7,8,0
0303_P01,5,In-air,C,0.6g,6,6,1
0303_P01,6,In-air,B,0.6g,6,6,1
0303_P01,7,In-air,C,0.16g,6,1,0
0303_P01,8,In-air,B,0.07g,5,2,0
0303_P01,9,In-air,A,2.0g,8,8,1
0303_P01,10,In-air,B,1.4g,7,7,1
0303_P01,11,In-air,B,2.0g,7,7,1
0303_P01,12,In-air,C,2.0g,5,5,1
0303_P01,13,In-air,B,0.16g,8,2,0
0303_P01,14,In-air,A,0.07g,6,0,0
0303_P01,15,In-air,A,0.6g,5,3,0
0303_P01,17,Active,C,0.07g,6,2,0
0303_P01,18,Active,C,2.0g,8,8,1
0303_P01,19,Active,B,1.4g,5,5,1
0303_P01,20,Active,A,0.6g,6,4,0
0303_P01,21,Active,A,1.4g,5,5,1
0303_P01,22,Active,C,1.4g,8,8,1
0303_P01,23,Active,B,2.0g,7,7,1
0303_P01,24,Active,B,0.07g,6,1,0
0303_P01,25,Active,C,0.6g,5,3,0
0303_P01,26,Active,C,0.16g,6,2,0
0303_P01,27,Active,A,2.0g,7,6,0
0303_P01,28,Active,B,0.6g,6,6,1
0303_P01,29,Active,A,0.16g,8,1,0
0303_P01,30,Active,A,0.07g,5,1,0
0303_P01,31,Active,B,0.16g,5,3,0
