subject_id,filename,nail_width_px,nail_height_px,left_skin_px,right_skin_px,ratio_w_h,ratio_left_w,ratio_right_w,pt1_x,pt1_y,pt2_x,pt2_y,pt3_x,pt3_y,pt4_x,pt4_y,pt5_x,pt5_y,pt6_x,pt6_y,timestamp
P1,P1.jpg,79.2,85.1,20.0,19.0,0.9307,0.2525,0.2399,332.0,225.0,411.0,220.0,375.0,174.0,371.0,259.0,312.0,237.0,430.0,244.0,2026-05-19 17:31:58
P1,P1.jpg,87.0,93.4,16.0,15.0,0.9315,0.1839,0.1724,330.0,218.0,417.0,217.0,379.0,169.0,370.0,262.0,314.0,237.0,432.0,245.0,2026-05-19 17:32:30
P10,P10.jpg,62.0,56.1,16.0,4.0,1.1052,0.2581,0.0645,374.0,313.0,436.0,314.0,410.0,281.0,399.0,336.0,358.0,322.0,440.0,330.0,2026-05-19 17:32:39
P11,P11.jpg,66.3,94.8,20.0,19.0,0.6994,0.3017,0.2866,299.0,269.0,365.0,275.0,337.0,228.0,325.0,322.0,279.0,275.0,384.0,285.0,2026-05-19 17:32:48
P12,P12.jpg,62.0,53.2,21.0,15.0,1.1654,0.3387,0.2419,357.0,260.0,419.0,259.0,392.0,227.0,387.0,280.0,336.0,281.0,434.0,281.0,2026-05-19 17:32:55
P13,P13.jpg,77.0,59.3,17.0,17.0,1.2985,0.2208,0.2208,349.0,277.0,426.0,277.0,390.0,238.0,384.0,297.0,332.0,287.0,443.0,289.0,2026-05-19 17:33:05
P14,P14.jpg,90.2,52.5,18.0,13.0,1.7181,0.1996,0.1441,309.0,232.0,399.0,238.0,357.0,203.0,350.0,255.0,291.0,231.0,412.0,244.0,2026-05-19 17:33:25
P15,P15.jpg,66.0,64.2,25.0,22.0,1.028,0.3788,0.3333,377.0,288.0,443.0,290.0,413.0,257.0,408.0,321.0,352.0,297.0,465.0,309.0,2026-05-19 17:33:42
P16,P16.jpg,77.0,89.0,27.0,22.0,0.8652,0.3506,0.2857,343.0,258.0,420.0,260.0,381.0,212.0,380.0,301.0,316.0,268.0,442.0,269.0,2026-05-19 17:33:48
P17,P17.jpg,93.0,71.0,20.0,21.0,1.3099,0.2151,0.2258,345.0,271.0,438.0,272.0,390.0,246.0,390.0,317.0,325.0,286.0,459.0,290.0,2026-05-19 17:33:54
P18,P18.jpg,86.4,95.1,20.0,15.0,0.9085,0.2315,0.1736,425.0,273.0,511.0,265.0,468.0,223.0,473.0,318.0,405.0,286.0,526.0,281.0,2026-05-19 17:34:14
P19,P19.jpg,71.1,108.1,26.0,21.0,0.6577,0.3657,0.2954,361.0,255.0,432.0,258.0,398.0,199.0,394.0,307.0,335.0,271.0,453.0,273.0,2026-05-19 17:34:22
P2,P2.jpg,57.0,75.1,15.0,12.0,0.759,0.2632,0.2105,402.0,242.0,459.0,243.0,432.0,204.0,429.0,279.0,387.0,254.0,471.0,258.0,2026-05-19 17:34:29
